Месяц,Мсц (цифрой),Дата,Сумма,Кошелек,Направление бизнеса,[counterparty_1ef22baea0],Назначение платежа,Статья
Апрель,4,22.04.2024,"-1 000,00",Тинькофф,Общее,[counterparty_831a0f4ab6],,Возвраты клиентам
Апрель,4,22.04.2024,"82 934,00",Тинькофф,Клиенты-физ.лица,[counterparty_db1aef506b],,Поступление денег с торг. точек
Апрель,4,22.04.2024,"430,00",Тинькофф,Клиенты-физ.лица,[counterparty_db1aef506b],,Поступление денег с торг. точек
Апрель,4,22.04.2024,"-1,72",Тинькофф,Общее,[counterparty_831a0f4ab6],,Эквайринг
Апрель,4,22.04.2024,"-85,00",Тинькофф,Общее,[counterparty_831a0f4ab6],,Эквайринг
Апрель,4,22.04.2024,"273 000,00",Тинькофф,Общее,,,Поступление — Перевод между счетами
Апрель,4,22.04.2024,"710,00",Тинькофф,Клиенты-физ.лица,[counterparty_db1aef506b],,Поступление денег с торг. точек
Апрель,4,22.04.2024,"-2,84",Тинькофф,Общее,[counterparty_831a0f4ab6],,Эквайринг
Апрель,4,22.04.2024,"-1 990,00",Тинькофф,Общее,[counterparty_831a0f4ab6],,РКО
Апрель,4,22.04.2024,"-99,00",Тинькофф,Общее,[counterparty_831a0f4ab6],,РКО
Апрель,4,22.04.2024,"-990,00",Тинькофф,Общее,[counterparty_831a0f4ab6],,РКО
Апрель,4,23.04.2024,"-837,97",Тинькофф,Общее,[counterparty_831a0f4ab6],,Эквайринг
Апрель,4,22.04.2024,"-86,00",Тинькофф,Общее,[counterparty_d7a35ccc36],,Расходы на питание персонала
Апрель,4,22.04.2024,"-3 502,00",Тинькофф,Общее,[counterparty_d7a35ccc36],,Содержание торговых точек
Апрель,4,23.04.2024,"55 855,00",Тинькофф,Клиенты-физ.лица,[counterparty_db1aef506b],,Поступление денег с торг. точек
Апрель,4,23.04.2024,"-15 000,00",Тинькофф,Общее,,[private_text_d704a344cc],Расходы на персонал
Апрель,4,23.04.2024,"-101 300,00",Тинькофф,Общее,,,Выбытие — Перевод между счетами
Апрель,4,23.04.2024,"-500,00",Тинькофф,Общее,,,Выбытие — Перевод между счетами
