Месяц,Мсц (цифрой),Дата,Сумма,Кошелек,Направление бизнеса,[counterparty_1ef22baea0],Назначение платежа,Статья
Январь,1,03.01.2024,"-20 000,00",ТК Черникова,Общее,,,Выбытие — Перевод между счетами
Январь,1,03.01.2024,"-1 000,00",ТК Черникова,Общее,,,Корретировки кассы -
Январь,1,03.01.2024,"-6 540,00",ТК Черникова,Общее,[counterparty_552231dcd7],,Курьерская служба -
Январь,1,03.01.2024,"8 880,00",ТК Черникова,Клиенты-физ.лица,[counterparty_db1aef506b],,Поступление денег с торг. точек
Январь,1,03.01.2024,"131,00",ТК Гагарина,Общее,,,Корретировки кассы +
Январь,1,03.01.2024,"-7 980,00",ТК Гагарина,Общее,[counterparty_552231dcd7],,Курьерская служба -
Январь,1,03.01.2024,"21 591,00",ТК Гагарина,Клиенты-физ.лица,[counterparty_db1aef506b],,Поступление денег с торг. точек
Январь,1,04.01.2024,"-6 260,00",ТК Гагарина,Общее,[counterparty_552231dcd7],,Курьерская служба -
Январь,1,04.01.2024,"21 718,00",ТК Гагарина,Клиенты-физ.лица,[counterparty_db1aef506b],,Поступление денег с торг. точек
Январь,1,04.01.2024,"-10 033,00",ТК Гагарина,Общее,[counterparty_d7a35ccc36],,Оплата поставщикам 
Январь,1,04.01.2024,"16 770,00",ТК Черникова,Клиенты-физ.лица,[counterparty_db1aef506b],,Поступление денег с торг. точек
Январь,1,04.01.2024,"-6 440,00",ТК Черникова,Общее,[counterparty_552231dcd7],,Курьерская служба -
Январь,1,04.01.2024,"-7 959,00",ТК Черникова,Общее,[counterparty_d7a35ccc36],,Оплата поставщикам 
Январь,1,03.01.2024,"-37 953,00",Сбербанк,Общее,,,Выбытие — Перевод между счетами
Январь,1,03.01.2024,"-62 000,00",Сбербанк,Общее,[counterparty_41bef12399],,Зарплата административного персонала
Январь,1,03.01.2024,"-30 000,00",Сбербанк,Общее,[counterparty_7e3a73c9be],,Зарплата административного персонала
Январь,1,03.01.2024,"37 953,00",Сбербанк,Общее,,,Поступление — Перевод между счетами
Январь,1,03.01.2024,"92 000,00",Сбербанк,Общее,,,Поступление — Перевод между счетами
Январь,1,02.01.2024,"13 580,76",Альфа,Клиенты-физ.лица,[counterparty_db1aef506b],,Поступление денег с торг. точек
Январь,1,02.01.2024,"-28,14",Альфа,Общее,[counterparty_831a0f4ab6],,Эквайринг
Январь,1,03.01.2024,"14 838,64",Альфа,Клиенты-физ.лица,[counterparty_db1aef506b],,Поступление денег с торг. точек
Январь,1,03.01.2024,"-45,29",Альфа,Общее,[counterparty_831a0f4ab6],,Эквайринг
Январь,1,03.01.2024,"-121 900,00",Альфа,Общее,,,Выбытие — Перевод между счетами
Январь,1,04.01.2024,"28 686,06",Альфа,Клиенты-физ.лица,[counterparty_db1aef506b],,Поступление денег с торг. точек
Январь,1,04.01.2024,"-27,43",Альфа,Общее,[counterparty_831a0f4ab6],,Эквайринг
Январь,1,01.01.2024,"-2 469,19",Тинькофф,Общее,[counterparty_831a0f4ab6],,Эквайринг
Январь,1,01.01.2024,"-90,00",Тинькофф,Общее,[counterparty_831a0f4ab6],,Овердрафт
Январь,1,01.01.2024,"164 594,00",Тинькофф,Клиенты-физ.лица,[counterparty_db1aef506b],,Поступление денег с торг. точек
Январь,1,03.01.2024,"258 122,38",Тинькофф,Общее,[counterparty_831a0f4ab6],,Получение овердрафта
Январь,1,03.01.2024,"-27 132,23",Тинькофф,Общее,[counterparty_831a0f4ab6],,Погашение овердрафта
Январь,1,03.01.2024,"-37 953,00",Тинькофф,Общее,,,Выбытие — Перевод между счетами
Январь,1,03.01.2024,"-132 951,08",Тинькофф,Общее,[counterparty_dc430ed78e],,Оплата поставщикам 
Январь,1,03.01.2024,"-105 068,07",Тинькофф,Общее,[counterparty_fb5384e8b9],,Оплата поставщикам 
Январь,1,03.01.2024,"-35 592,98",Тинькофф,Общее,[counterparty_19f4d4c15b],,Оплата поставщикам 
Январь,1,03.01.2024,"-12 372,00",Тинькофф,Общее,[counterparty_c4e92b27e2],,Оплата поставщикам 
Январь,1,03.01.2024,"-22 680,00",Тинькофф,Общее,[counterparty_fb5384e8b9],,Оплата поставщикам 
Январь,1,03.01.2024,"-39 091,21",Тинькофф,Общее,[counterparty_8e70032df8],,Оплата поставщикам 
Январь,1,03.01.2024,"-37 745,62",Тинькофф,Общее,[counterparty_8e70032df8],,Оплата поставщикам 
Январь,1,03.01.2024,"121 900,00",Тинькофф,Общее,,,Поступление — Перевод между счетами
Январь,1,03.01.2024,"529,00",Тинькофф,Клиенты-физ.лица,[counterparty_db1aef506b],,Поступление денег с торг. точек
Январь,1,03.01.2024,"-92 000,00",Тинькофф,Общее,,,Выбытие — Перевод между счетами
Январь,1,03.01.2024,"37 953,00",Сейф,Общее,,,Поступление — Перевод между счетами
Январь,1,03.01.2024,"20 000,00",Сейф,Общее,,,Поступление — Перевод между счетами
Январь,1,03.01.2024,"-22 500,00",Сейф,Общее,[counterparty_552231dcd7],,Зарплата административного персонала
Январь,1,03.01.2024,"-137 253,00",Сейф,Общее,[counterparty_552231dcd7],,Зарплата производственного персонала
Январь,1,04.01.2024,"-3 600,00",Сейф,Общее,[counterparty_45d6b05c94],,Поиск и найм персонала
Январь,1,05.01.2024,"32 607,90",Альфа,Клиенты-физ.лица,[counterparty_db1aef506b],,Поступление денег с торг. точек
Январь,1,05.01.2024,"-40,23",Альфа,Общее,[counterparty_831a0f4ab6],,Эквайринг
Январь,1,06.01.2024,"30 659,84",Альфа,Клиенты-физ.лица,[counterparty_db1aef506b],,Поступление денег с торг. точек
Январь,1,06.01.2024,"-34,73",Альфа,Общее,[counterparty_831a0f4ab6],,Эквайринг
Январь,1,07.01.2024,"29 740,35",Альфа,Клиенты-физ.лица,[counterparty_db1aef506b],,Поступление денег с торг. точек
Январь,1,07.01.2024,"-39,61",Альфа,Общее,[counterparty_831a0f4ab6],,Эквайринг
Январь,1,08.01.2024,"25 933,26",Альфа,Клиенты-физ.лица,[counterparty_db1aef506b],,Поступление денег с торг. точек
Январь,1,08.01.2024,"-18,19",Альфа,Общее,[counterparty_831a0f4ab6],,Эквайринг
Январь,1,09.01.2024,"13 257,54",Альфа,Клиенты-физ.лица,[counterparty_db1aef506b],,Поступление денег с торг. точек
Январь,1,09.01.2024,"-168 000,00",Альфа,Общее,,,Выбытие — Перевод между счетами
Январь,1,09.01.2024,"-1,57",Альфа,Общее,[counterparty_831a0f4ab6],,Эквайринг
Январь,1,10.01.2024,"-299,00",Альфа,Общее,[counterparty_831a0f4ab6],,РКО
Январь,1,10.01.2024,"12 162,32",Альфа,Клиенты-физ.лица,[counterparty_db1aef506b],,Поступление денег с торг. точек
Январь,1,10.01.2024,"-23,47",Альфа,Общее,[counterparty_831a0f4ab6],,Эквайринг
Январь,1,04.01.2024,"115 571,00",Тинькофф,Клиенты-физ.лица,[counterparty_db1aef506b],,Поступление денег с торг. точек
Январь,1,04.01.2024,"-2,12",Тинькофф,Общее,[counterparty_831a0f4ab6],,Эквайринг
Январь,1,04.01.2024,"-490,00",Тинькофф,Общее,[counterparty_831a0f4ab6],,Овердрафт
Январь,1,04.01.2024,"-590,00",Тинькофф,Общее,[counterparty_831a0f4ab6],,Овердрафт
Январь,1,04.01.2024,"-1 733,82",Тинькофф,Общее,[counterparty_831a0f4ab6],,Эквайринг
Январь,1,04.01.2024,"-5 297,66",Тинькофф,Общее,[counterparty_d7a35ccc36],,Оплата поставщикам 
Январь,1,04.01.2024,"-2 333,51",Тинькофф,Общее,[counterparty_d7a35ccc36],,Расходы на питание персонала
Январь,1,04.01.2024,"-42,95",Тинькофф,Общее,[counterparty_d7a35ccc36],,Содержание торговых точек
Январь,1,05.01.2024,"-112 755,06",Тинькофф,Общее,[counterparty_831a0f4ab6],,Погашение овердрафта
Январь,1,05.01.2024,"-80 863,98",Тинькофф,Общее,[counterparty_831a0f4ab6],,Погашение овердрафта
Январь,1,05.01.2024,"250,00",Тинькофф,Общее,[counterparty_831a0f4ab6],,Получение овердрафта
Январь,1,05.01.2024,"7 674,12",Тинькофф,Общее,[counterparty_831a0f4ab6],,Получение овердрафта
Январь,1,05.01.2024,"82 390,00",Тинькофф,Клиенты-физ.лица,[counterparty_db1aef506b],,Поступление денег с торг. точек
Январь,1,05.01.2024,"-250,00",Тинькофф,Общее,[counterparty_d7a35ccc36],,Содержание торговых точек
Январь,1,05.01.2024,"-290,00",Тинькофф,Общее,[counterparty_831a0f4ab6],,Овердрафт
Январь,1,05.01.2024,"-1 236,02",Тинькофф,Общее,[counterparty_831a0f4ab6],,Эквайринг
Январь,1,06.01.2024,"-1 366,49",Тинькофф,Общее,[counterparty_831a0f4ab6],,Эквайринг
Январь,1,06.01.2024,"91 089,30",Тинькофф,Клиенты-физ.лица,[counterparty_db1aef506b],,Поступление денег с торг. точек
Январь,1,06.01.2024,"-190,00",Тинькофф,Общее,[counterparty_831a0f4ab6],,Овердрафт
Январь,1,06.01.2024,"125,00",Тинькофф,Клиенты-физ.лица,[counterparty_db1aef506b],,Поступление денег с торг. точек
Январь,1,06.01.2024,"-0,50",Тинькофф,Общее,[counterparty_831a0f4ab6],,Эквайринг
Январь,1,06.01.2024,"-1 784,86",Тинькофф,Общее,[counterparty_d7a35ccc36],,Оплата поставщикам 
Январь,1,06.01.2024,"-1 840,62",Тинькофф,Общее,[counterparty_d7a35ccc36],,Расходы на питание персонала
Январь,1,06.01.2024,"-633,65",Тинькофф,Общее,[counterparty_d7a35ccc36],,Содержание торговых точек
Январь,1,07.01.2024,"-1 491,45",Тинькофф,Общее,[counterparty_831a0f4ab6],,Эквайринг
Январь,1,07.01.2024,"99 418,00",Тинькофф,Клиенты-физ.лица,[counterparty_db1aef506b],,Поступление денег с торг. точек
Январь,1,07.01.2024,"-5 000,00",Тинькофф,Общее,[counterparty_50d958815d],,Телекоммуникации
Январь,1,07.01.2024,"1 199,00",Тинькофф,Клиенты-физ.лица,[counterparty_db1aef506b],,Поступление денег с торг. точек
Январь,1,07.01.2024,"-4,80",Тинькофф,Общее,[counterparty_831a0f4ab6],,Эквайринг
Январь,1,07.01.2024,"250,00",Тинькофф,Клиенты-физ.лица,[counterparty_db1aef506b],,Поступление денег с торг. точек
Январь,1,07.01.2024,"-1,00",Тинькофф,Общее,[counterparty_831a0f4ab6],,Эквайринг
Январь,1,07.01.2024,"-16 507,00",Тинькофф,Общее,[counterparty_8007f5505d],,Комиссия партнерам
Январь,1,07.01.2024,"-2 050,00",Тинькофф,Общее,[counterparty_d7a35ccc36],,Расходы на персонал
Январь,1,07.01.2024,"-1 382,15",Тинькофф,Общее,[counterparty_d7a35ccc36],,Оплата поставщикам 
Январь,1,08.01.2024,"-1 216,38",Тинькофф,Общее,[counterparty_831a0f4ab6],,Эквайринг
Январь,1,08.01.2024,"81 081,00",Тинькофф,Клиенты-физ.лица,[counterparty_db1aef506b],,Поступление денег с торг. точек
Январь,1,08.01.2024,"-16 705,00",Тинькофф,Общее,,,Выбытие — Перевод между счетами
Январь,1,08.01.2024,"1 064,00",Тинькофф,Клиенты-физ.лица,[counterparty_db1aef506b],,Поступление денег с торг. точек
Январь,1,08.01.2024,"-4,26",Тинькофф,Общее,[counterparty_831a0f4ab6],,Эквайринг
Январь,1,08.01.2024,"-1 222,48",Тинькофф,Общее,[counterparty_fb5384e8b9],,Оплата поставщикам 
Январь,1,08.01.2024,"-202 129,62",Тинькофф,Общее,[counterparty_dc430ed78e],,Оплата поставщикам 
Январь,1,08.01.2024,"-6 749,27",Тинькофф,Общее,[counterparty_d7a35ccc36],,Оплата поставщикам 
Январь,1,09.01.2024,"-53 639,07",Тинькофф,Общее,[counterparty_19f4d4c15b],,Оплата поставщикам 
Январь,1,09.01.2024,"-17 010,00",Тинькофф,Общее,[counterparty_fb5384e8b9],,Оплата поставщикам 
Январь,1,09.01.2024,"-97 047,44",Тинькофф,Общее,[counterparty_fb5384e8b9],,Оплата поставщикам 
Январь,1,09.01.2024,"-21 566,00",Тинькофф,Общее,[counterparty_c4e92b27e2],,Оплата поставщикам 
Январь,1,09.01.2024,"75 804,15",Тинькофф,Клиенты-физ.лица,[counterparty_db1aef506b],,Поступление денег с торг. точек
Январь,1,09.01.2024,"-490,00",Тинькофф,Общее,[counterparty_831a0f4ab6],,Овердрафт
Январь,1,09.01.2024,"-190,00",Тинькофф,Общее,[counterparty_831a0f4ab6],,Овердрафт
Январь,1,09.01.2024,"-1 137,21",Тинькофф,Общее,[counterparty_831a0f4ab6],,Эквайринг
Январь,1,09.01.2024,"168 000,00",Тинькофф,Общее,,,Поступление — Перевод между счетами
Январь,1,09.01.2024,"600,00",Тинькофф,Клиенты-физ.лица,[counterparty_db1aef506b],,Поступление денег с торг. точек
Январь,1,09.01.2024,"-3 630,00",Тинькофф,Общее,[counterparty_d7a35ccc36],,Содержание торговых точек
Январь,1,09.01.2024,"-7 428,00",Тинькофф,Общее,[counterparty_b2323408fa],,Оплата поставщикам 
Январь,1,09.01.2024,"-87 450,00",Тинькофф,Общее,,,Выбытие — Перевод между счетами
Январь,1,09.01.2024,"-270,00",Тинькофф,Общее,[counterparty_d7a35ccc36],,Содержание торговых точек
Январь,1,09.01.2024,"1 237,00",Тинькофф,Клиенты-физ.лица,[counterparty_db1aef506b],,Поступление денег с торг. точек
Январь,1,09.01.2024,"-2,40",Тинькофф,Общее,[counterparty_831a0f4ab6],,Эквайринг
Январь,1,09.01.2024,"58 480,89",Тинькофф,Общее,[counterparty_831a0f4ab6],,Получение овердрафта
Январь,1,09.01.2024,"97 543,40",Тинькофф,Общее,[counterparty_831a0f4ab6],,Получение овердрафта
Январь,1,09.01.2024,"-72 427,66",Тинькофф,Общее,[counterparty_831a0f4ab6],,Погашение овердрафта
Январь,1,09.01.2024,"-52 724,43",Тинькофф,Общее,[counterparty_831a0f4ab6],,Погашение овердрафта
Январь,1,09.01.2024,"-600,00",Тинькофф,Общее,[counterparty_831a0f4ab6],,Погашение овердрафта
Январь,1,10.01.2024,"54 342,00",Тинькофф,Клиенты-физ.лица,[counterparty_db1aef506b],,Поступление денег с торг. точек
Январь,1,10.01.2024,"-4,95",Тинькофф,Общее,[counterparty_831a0f4ab6],,Эквайринг
Январь,1,10.01.2024,"-290,00",Тинькофф,Общее,[counterparty_831a0f4ab6],,Овердрафт
Январь,1,10.01.2024,"-816,24",Тинькофф,Общее,[counterparty_831a0f4ab6],,Эквайринг
Январь,1,10.01.2024,"-40 000,00",Тинькофф,Общее,,,Выбытие — Перевод между счетами
Январь,1,10.01.2024,"1 477,00",Тинькофф,Клиенты-физ.лица,[counterparty_db1aef506b],,Поступление денег с торг. точек
Январь,1,10.01.2024,"-53 231,81",Тинькофф,Общее,[counterparty_831a0f4ab6],,Погашение овердрафта
Январь,1,10.01.2024,"48 275,81",Тинькофф,Общее,[counterparty_831a0f4ab6],,Получение овердрафта
Январь,1,10.01.2024,"-8 853,93",Тинькофф,Общее,[counterparty_d7a35ccc36],,Оплата поставщикам 
Январь,1,10.01.2024,"-411,94",Тинькофф,Общее,[counterparty_d7a35ccc36],,Содержание торговых точек
Январь,1,10.01.2024,"-485,94",Тинькофф,Общее,[counterparty_d7a35ccc36],,Расходы на питание персонала
Январь,1,05.01.2024,"-28 800,00",ТК Гагарина,Общее,,,Выбытие — Перевод между счетами
Январь,1,09.01.2024,"-3 000,00",ТК Гагарина,Общее,,,Выбытие — Перевод между счетами
Январь,1,05.01.2024,"-12 530,00",ТК Черникова,Общее,[counterparty_552231dcd7],,Курьерская служба -
Январь,1,05.01.2024,"-1 350,00",ТК Черникова,Общее,[counterparty_903a43fe3c],,Транспортные услуги
Январь,1,05.01.2024,"22 433,25",ТК Черникова,Клиенты-физ.лица,[counterparty_db1aef506b],,Поступление денег с торг. точек
Январь,1,06.01.2024,"-4 312,00",ТК Черникова,Общее,[counterparty_d7a35ccc36],,Оплата поставщикам 
Январь,1,06.01.2024,"-12 100,00",ТК Черникова,Общее,[counterparty_552231dcd7],,Курьерская служба -
Январь,1,06.01.2024,"32 208,75",ТК Черникова,Клиенты-физ.лица,[counterparty_db1aef506b],,Поступление денег с торг. точек
Январь,1,07.01.2024,"-12 280,00",ТК Черникова,Общее,[counterparty_552231dcd7],,Курьерская служба -
Январь,1,07.01.2024,"27 772,00",ТК Черникова,Клиенты-физ.лица,[counterparty_db1aef506b],,Поступление денег с торг. точек
Январь,1,08.01.2024,"-11 040,00",ТК Черникова,Общее,[counterparty_552231dcd7],,Курьерская служба -
Январь,1,08.01.2024,"-300,00",ТК Черникова,Общее,[counterparty_552231dcd7],,Содержание торговых точек
Январь,1,08.01.2024,"18 752,00",ТК Черникова,Клиенты-физ.лица,[counterparty_db1aef506b],,Поступление денег с торг. точек
Январь,1,08.01.2024,"-91,00",ТК Черникова,Общее,[counterparty_d7a35ccc36],,Расходы на питание персонала
Январь,1,08.01.2024,"-7 549,00",ТК Черникова,Общее,[counterparty_d7a35ccc36],,Оплата поставщикам 
Январь,1,09.01.2024,"-8 300,00",ТК Черникова,Общее,[counterparty_552231dcd7],,Курьерская служба -
Январь,1,09.01.2024,"25 651,00",ТК Черникова,Клиенты-физ.лица,[counterparty_db1aef506b],,Поступление денег с торг. точек
Январь,1,09.01.2024,"-37 000,00",ТК Черникова,Общее,,,Выбытие — Перевод между счетами
Январь,1,10.01.2024,"-2 350,00",ТК Черникова,Общее,[counterparty_903a43fe3c],,Транспортные услуги
Январь,1,10.01.2024,"-10 000,00",ТК Черникова,Общее,[counterparty_552231dcd7],,Курьерская служба -
Январь,1,10.01.2024,"-1 355,00",ТК Черникова,Общее,[counterparty_d7a35ccc36],,Содержание торговых точек
Январь,1,10.01.2024,"-9 381,00",ТК Черникова,Общее,[counterparty_d7a35ccc36],,Оплата поставщикам 
Январь,1,10.01.2024,"16 510,00",ТК Черникова,Клиенты-физ.лица,[counterparty_db1aef506b],,Поступление денег с торг. точек
Январь,1,10.01.2024,"-4 700,00",ТК Черникова,Общее,[counterparty_552231dcd7],,Содержание торговых точек
Январь,1,11.01.2024,"-2 900,00",ТК Черникова,Общее,[counterparty_45d6b05c94],,Поиск и найм персонала
Январь,1,11.01.2024,"-8 720,00",ТК Черникова,Общее,[counterparty_552231dcd7],,Курьерская служба -
Январь,1,11.01.2024,"14 949,00",ТК Черникова,Клиенты-физ.лица,[counterparty_db1aef506b],,Поступление денег с торг. точек
Январь,1,05.01.2024,"28 800,00",Сейф,Общее,,,Поступление — Перевод между счетами
Январь,1,09.01.2024,"37 000,00",Сейф,Общее,,,Поступление — Перевод между счетами
Январь,1,09.01.2024,"87 450,00",Сейф,Общее,,,Поступление — Перевод между счетами
Январь,1,09.01.2024,"3 000,00",Сейф,Общее,,,Поступление — Перевод между счетами
Январь,1,09.01.2024,"-5 000,00",Сейф,Общее,[counterparty_552231dcd7],,Зарплата административного персонала
Январь,1,09.01.2024,"-167 050,00",Сейф,Общее,[counterparty_552231dcd7],,Зарплата производственного персонала
Январь,1,11.01.2024,"32 902,79",Альфа,Клиенты-физ.лица,[counterparty_db1aef506b],,Поступление денег с торг. точек
Январь,1,11.01.2024,"-34,37",Альфа,Общее,[counterparty_831a0f4ab6],,Эквайринг
Январь,1,11.01.2024,"-50 000,00",Тинькофф,Общее,[counterparty_e08d6e58b9],,Аренда торговых точек
Январь,1,11.01.2024,"130 636,48",Тинькофф,Общее,[counterparty_831a0f4ab6],,Получение овердрафта
Январь,1,11.01.2024,"62 970,00",Тинькофф,Клиенты-физ.лица,[counterparty_db1aef506b],,Поступление денег с торг. точек
Январь,1,11.01.2024,"-64 083,00",Тинькофф,Общее,[counterparty_e08d6e58b9],,Аренда торговых точек
Январь,1,11.01.2024,"-2 400,00",Тинькофф,Общее,[counterparty_e3d41d1621],,Телекоммуникации
Январь,1,11.01.2024,"-1 000,00",Тинькофф,Общее,[counterparty_9147d41bbb],,Аренда торговых точек
Январь,1,11.01.2024,"-61 830,38",Тинькофф,Общее,[counterparty_831a0f4ab6],,Погашение овердрафта
Январь,1,11.01.2024,"-7 673,00",Тинькофф,Общее,[counterparty_e08d6e58b9],[private_text_ace57e06ae],Аренда торговых точек
Январь,1,11.01.2024,"-944,71",Тинькофф,Общее,[counterparty_831a0f4ab6],,Эквайринг
Январь,1,11.01.2024,"-190,00",Тинькофф,Общее,[counterparty_831a0f4ab6],,Овердрафт
Январь,1,11.01.2024,"-4,91",Тинькофф,Общее,[counterparty_831a0f4ab6],,Эквайринг
Январь,1,11.01.2024,"-4 000,00",Тинькофф,Общее,[counterparty_9147d41bbb],,Аренда торговых точек
Январь,1,11.01.2024,"-1 291,71",Тинькофф,Общее,[counterparty_d7a35ccc36],,Оплата поставщикам 
Январь,1,11.01.2024,"-179,78",Тинькофф,Общее,[counterparty_d7a35ccc36],,Расходы на питание персонала
Январь,1,11.01.2024,"-8,99",Тинькофф,Общее,[counterparty_d7a35ccc36],,Содержание торговых точек
Январь,1,12.01.2024,"-12 920,00",ТК Черникова,Общее,[counterparty_552231dcd7],,Курьерская служба -
Январь,1,12.01.2024,"28 192,50",ТК Черникова,Клиенты-физ.лица,[counterparty_db1aef506b],,Поступление денег с торг. точек
Январь,1,12.01.2024,"-1 016,00",ТК Черникова,Общее,[counterparty_7e3a73c9be],,Зарплата административного персонала
Январь,1,12.01.2024,"-90,00",ТК Черникова,Общее,[counterparty_d7a35ccc36],,Расходы на питание персонала
Январь,1,12.01.2024,"-5 562,00",ТК Черникова,Общее,[counterparty_d7a35ccc36],,Оплата поставщикам 
Январь,1,12.01.2024,"-2 476,32",ТК Черникова,Общее,[counterparty_6d6a37d791],,Оплата поставщикам 
Январь,1,13.01.2024,"-3 342,00",ТК Черникова,Общее,[counterparty_d7a35ccc36],,Оплата поставщикам 
Январь,1,13.01.2024,"-16 900,00",ТК Черникова,Общее,[counterparty_552231dcd7],,Курьерская служба -
Январь,1,13.01.2024,"45 351,35",ТК Черникова,Клиенты-физ.лица,[counterparty_db1aef506b],,Поступление денег с торг. точек
Январь,1,14.01.2024,"-9 568,00",ТК Черникова,Общее,[counterparty_d7a35ccc36],,Оплата поставщикам 
Январь,1,14.01.2024,"30 634,00",ТК Черникова,Клиенты-физ.лица,[counterparty_db1aef506b],,Поступление денег с торг. точек
Январь,1,14.01.2024,"1 871,15",ТК Черникова,Общее,,,Корретировки кассы +
Январь,1,12.01.2024,"32 216,73",Альфа,Клиенты-физ.лица,[counterparty_db1aef506b],,Поступление денег с торг. точек
Январь,1,12.01.2024,"-57,40",Альфа,Общее,[counterparty_831a0f4ab6],,Эквайринг
Январь,1,13.01.2024,"29 959,09",Альфа,Клиенты-физ.лица,[counterparty_db1aef506b],,Поступление денег с торг. точек
Январь,1,13.01.2024,"-49,43",Альфа,Общее,[counterparty_831a0f4ab6],,Эквайринг
Январь,1,14.01.2024,"36 925,08",Альфа,Клиенты-физ.лица,[counterparty_db1aef506b],,Поступление денег с торг. точек
Январь,1,14.01.2024,"-33,25",Альфа,Общее,[counterparty_831a0f4ab6],,Эквайринг
Январь,1,12.01.2024,"53 946,00",Тинькофф,Клиенты-физ.лица,[counterparty_db1aef506b],,Поступление денег с торг. точек
Январь,1,12.01.2024,"-290,00",Тинькофф,Общее,[counterparty_831a0f4ab6],,Овердрафт
Январь,1,12.01.2024,"-809,31",Тинькофф,Общее,[counterparty_831a0f4ab6],,Эквайринг
Январь,1,12.01.2024,"-9 028,85",Тинькофф,Общее,[counterparty_d7a35ccc36],,Оплата поставщикам 
Январь,1,12.01.2024,"-2 086,73",Тинькофф,Общее,[counterparty_d7a35ccc36],,Расходы на питание персонала
Январь,1,12.01.2024,"-52 846,69",Тинькофф,Общее,[counterparty_831a0f4ab6],,Погашение овердрафта
Январь,1,12.01.2024,"11 115,58",Тинькофф,Общее,[counterparty_831a0f4ab6],,Получение овердрафта
Январь,1,13.01.2024,"81 826,30",Тинькофф,Клиенты-физ.лица,[counterparty_db1aef506b],,Поступление денег с торг. точек
Январь,1,13.01.2024,"-290,00",Тинькофф,Общее,[counterparty_831a0f4ab6],,Овердрафт
Январь,1,13.01.2024,"-1 227,57",Тинькофф,Общее,[counterparty_831a0f4ab6],,Эквайринг
Январь,1,13.01.2024,"-8,00",Тинькофф,Общее,[counterparty_d7a35ccc36],,Содержание торговых точек
Январь,1,13.01.2024,"-3 936,26",Тинькофф,Общее,[counterparty_d7a35ccc36],,Оплата поставщикам 
Январь,1,14.01.2024,"-1 786,67",Тинькофф,Общее,[counterparty_831a0f4ab6],,Эквайринг
Январь,1,14.01.2024,"119 096,00",Тинькофф,Клиенты-физ.лица,[counterparty_db1aef506b],,Поступление денег с торг. точек
Январь,1,14.01.2024,"-90,00",Тинькофф,Общее,[counterparty_831a0f4ab6],,Овердрафт
Январь,1,14.01.2024,"-7 720,98",Тинькофф,Общее,[counterparty_d7a35ccc36],,Оплата поставщикам 
Январь,1,14.01.2024,"-265,95",Тинькофф,Общее,[counterparty_d7a35ccc36],,Содержание торговых точек
Январь,1,14.01.2024,"-980,09",Тинькофф,Общее,[counterparty_d7a35ccc36],,Расходы на питание персонала
Январь,1,14.01.2024,"-850,00",ТК Черникова,Общее,[counterparty_903a43fe3c],[private_text_4fb8dca431],Оплата поставщикам 
Январь,1,14.01.2024,"-12 960,00",ТК Черникова,Общее,[counterparty_552231dcd7],,Курьерская служба -
Январь,1,15.01.2024,"-50 000,00",ТК Черникова,Общее,,,Выбытие — Перевод между счетами
Январь,1,15.01.2024,"-1 350,00",ТК Черникова,Общее,[counterparty_903a43fe3c],,Транспортные услуги
Январь,1,15.01.2024,"2,32",ТК Черникова,Общее,,,Корретировки кассы +
Январь,1,15.01.2024,"-7 940,00",ТК Черникова,Общее,[counterparty_552231dcd7],,Курьерская служба -
Январь,1,15.01.2024,"14 505,00",ТК Черникова,Клиенты-физ.лица,,,Поступление денег с торг. точек
Январь,1,08.01.2024,"16 705,00",Сбербанк,Общее,,,Поступление — Перевод между счетами
Январь,1,09.01.2024,"-18 459,00",Сбербанк,Общее,[counterparty_831a0f4ab6],,Оплаты по кредитам и займам
Январь,1,09.01.2024,"87 450,00",Сбербанк,Общее,,,Поступление — Перевод между счетами
Январь,1,09.01.2024,"-87 450,00",Сбербанк,Общее,,,Выбытие — Перевод между счетами
Январь,1,10.01.2024,"40 000,00",Сбербанк,Общее,,,Поступление — Перевод между счетами
Январь,1,10.01.2024,"-40 000,00",Сбербанк,Общее,[counterparty_7e3a73c9be],,Зарплата административного персонала
Январь,1,11.01.2024,"-79,35",Сбербанк,Общее,[counterparty_831a0f4ab6],,РКО
Январь,1,15.01.2024,"29 920,22",Альфа,Клиенты-физ.лица,[counterparty_db1aef506b],,Поступление денег с торг. точек
Январь,1,15.01.2024,"-170 000,00",Альфа,Общее,,,Выбытие — Перевод между счетами
Январь,1,15.01.2024,"-19,89",Альфа,Общее,[counterparty_831a0f4ab6],,Эквайринг
Январь,1,16.01.2024,"14 700,44",Альфа,Клиенты-физ.лица,[counterparty_db1aef506b],,Поступление денег с торг. точек
Январь,1,16.01.2024,"-24,68",Альфа,Общее,[counterparty_831a0f4ab6],,Эквайринг
Январь,1,16.01.2024,"-10 060,00",ТК Черникова,Общее,[counterparty_552231dcd7],,Курьерская служба -
Январь,1,16.01.2024,"23 071,00",ТК Черникова,Клиенты-физ.лица,[counterparty_db1aef506b],,Поступление денег с торг. точек
Январь,1,16.01.2024,"-7 516,00",ТК Черникова,Общее,[counterparty_5ea766e786],,Оплата поставщикам 
Январь,1,16.01.2024,"-160,00",ТК Черникова,Общее,[counterparty_d7a35ccc36],,Расходы на питание персонала
Январь,1,16.01.2024,"-10 013,00",ТК Черникова,Общее,[counterparty_d7a35ccc36],,Оплата поставщикам 
Январь,1,15.01.2024,"50 000,00",Сейф,Общее,,,Поступление — Перевод между счетами
