,31.01.24,29.02.24,31.03.24,30.04.24,31.05.24,,,,,,30.11.,31.12.,Горизонтальный анализ,,,,,Вертикальный анализ (доля в структуре баланса),,,
Депозиты,0,0,0,,,,,,,600 000,600 000,600 000,0,0,,0,,0%,0%,,0%
Овернайт,0,0,0,,,,,,,,,,0,0,,0,,0%,0%,,0%
,,,,,,,,,,,,,,,,0,,0%,0%,,0%
Прочие активы,45 500,0,0,0,0,0,0,0,0,0,0,0,45 500,0,падение на,-45 500,-100%,1%,0%,падение на,-1%
Расходы будущих периодов,45 500,0,0,,,,,,,,,,45 500,0,падение на,-45 500,-100%,1%,0%,падение на,-1%
,,,,,,,,,,,,,,,,0,,0%,0%,,0%
Пассивы ↓,3 950 362,4 457 099,4 542 007,4 517 284,4 823 630,5 081 112,5 016 828,5 055 842,5 095 863,5 406 974,5 279 168,5 791 964,3 950 362,4 457 099,рост на,506 737,13%,3 950 362,4 457 099,,
Капитал,1 130 474,1 324 156,1 612 240,1 719 754,2 036 145,2 386 036,2 597 134,2 700 206,2 903 341,3 083 299,3 186 123,3 679 137,1 130 474,1 324 156,рост на,193 682,17%,29%,30%,рост на,1%
Уставный капитал,,,,,,,,,,,,,,,,0,,0%,0%,,0%
Накопленная прибыль/убыток:,-3 959 526,-3 645 844,-3 177 760,-2 999 246,-2 472 855,-1 922 964,-1 539 866,-1 369 794,-966 659,-606 701,-401 877,336 137,-3 959 526,-3 645 844,рост на,313 682,-8%,-100%,-82%,рост на,18%
— прошлых периодов,-4 018 298,-3 959 526,-3 645 844,-3 177 760,-2 999 246,-2 472 855,-1 922 964,-1 539 866,-1 369 794,-966 659,-606 701,-156 877,-4 018 298,-3 959 526,рост на,58 772,-1%,-102%,-89%,рост на,13%
— текущих периодов,58 772,313 682,468 084,178 514,526 391,549 891,383 098,170 072,403 135,359 958,204 824,493 014,,,,,,0%,0%,,0%
,,,,,,,,,,,,,,,,0,,0%,0%,,0%
Дивиденды,-125 000,-245 000,-425 000,-496 000,-706 000,-906 000,-1 078 000,-1 145 000,-1 345 000,-1 525 000,-1 627 000,-1 872 000,-125 000,-245 000,падение на,-120 000,96%,-3%,-5%,падение на,-2%
— прошлых периодов,-100 000,-125 000,-245 000,-425 000,-496 000,-706 000,-906 000,-1 078 000,-1 145 000,-1 345 000,-1 525 000,-1 627 000,-4 018 298,-3 959 526,рост на,58 772,-1%,-102%,-89%,рост на,13%
— текущих периодов,-25 000,-120 000,-180 000,-71 000,-210 000,-200 000,-172 000,-67 000,-200 000,-180 000,-102 000,-245 000,58 772,313 682,рост на,254 910,434%,1%,7%,рост на,6%
,,,,,,,,,,,,,,,,0,,0%,0%,,0%
Вложения от собственников,5 215 000,5 215 000,5 215 000,5 215 000,5 215 000,5 215 000,5 215 000,5 215 000,5 215 000,5 215 000,5 215 000,5 215 000,5 215 000,5 215 000,,0,0%,132%,117%,падение на,-15%
— прошлых периодов,5 215 000,5 215 000,5 215 000,5 215 000,5 215 000,5 215 000,5 215 000,5 215 000,5 215 000,5 215 000,5 215 000,5 215 000,-4 018 298,-3 959 526,рост на,58 772,-1%,-102%,-89%,рост на,13%
— текущих периодов,,,,,,,,,,,,,58 772,313 682,рост на,254 910,434%,1%,7%,рост на,6%
,,,,,,,,,,,,,,,,0,,0%,0%,,0%
Добавочный капитал,,,,,,,,,,,,,,,,0,,0%,0%,,0%
Переоценка капитала,,,,,,,,,,,,,,,,0,,0%,0%,,0%
,,,,,,,,,,,,,,,,0,,0%,0%,,0%
