period_start,period_end,month,metric_type,courier_metric_rows,order_count_sum,avg_total_time,avg_on_the_way_time,avg_double_orders,avg_triple_orders,payout_sum_candidate
2026-02-01,2026-05-17,2026-02,AVERAGE,17.0,259.83000000000004,114.98000000000002,37.455882352941174,2.0405882352941176,2.355294117647059,0.0
2026-02-01,2026-05-17,2026-02,MAXIMUM,17.0,411.0,531.1764705882352,197.8235294117647,3.4705882352941178,4.176470588235294,0.0
2026-02-01,2026-05-17,2026-02,TARGET,17.0,1700.0,8.976470588235296,7.505882352941177,25.647058823529413,13.235294117647058,0.0
2026-02-01,2026-05-17,2026-03,AVERAGE,15.0,272.19,125.74600000000001,34.727333333333334,2.7053333333333334,2.6133333333333337,0.0
2026-02-01,2026-05-17,2026-03,MAXIMUM,15.0,412.0,460.93333333333334,102.13333333333334,4.2,4.066666666666666,0.0
2026-02-01,2026-05-17,2026-03,TARGET,15.0,1500.0,9.366666666666669,8.92,18.466666666666665,11.333333333333334,0.0
2026-02-01,2026-05-17,2026-04,AVERAGE,14.0,231.71,111.76714285714284,36.402142857142856,2.5585714285714287,2.34,0.0
2026-02-01,2026-05-17,2026-04,MAXIMUM,14.0,299.0,464.07142857142856,84.21428571428571,3.7142857142857144,3.642857142857143,0.0
2026-02-01,2026-05-17,2026-04,TARGET,14.0,1400.0,9.757142857142856,9.114285714285714,19.642857142857142,13.928571428571429,0.0
2026-02-01,2026-05-17,2026-05,AVERAGE,12.0,193.82,115.89833333333333,34.26916666666667,3.0691666666666664,1.9666666666666668,0.0
2026-02-01,2026-05-17,2026-05,MAXIMUM,12.0,250.0,427.75,85.83333333333333,3.9166666666666665,2.9166666666666665,0.0
2026-02-01,2026-05-17,2026-05,TARGET,12.0,1200.0,10.733333333333334,11.241666666666667,21.583333333333332,23.666666666666668,0.0
