dish_name,period_start,period_end,dish_group_top,dish_category,orders,dish_amount,revenue,gross_sum,product_cost,food_cost_share_calc,gross_margin_calc,gross_margin_share_calc,product_profit_api,avg_check
Бургер Чиз,2025-11-01,2026-05-17,Пицца,Пицца,47.0,47.0,31301.619999999995,39380.0,10025.37,0.3202827840859356,21276.249999999993,0.6797172159140644,21276.25,665.9919148936169
Лава краб,2025-11-01,2026-05-17,Роллы,Роллы,103.0,112.0,30619.98,35012.0,6910.77,0.22569479144009894,23709.21,0.774305208559901,23709.21,297.28135922330097
Спайси соус,2025-11-01,2026-05-17,Дополнительно,Все блюда,628.0,781.0,29530.350000000002,36110.0,8541.240157509159,0.2892359947480866,20989.10984249084,0.7107640052519134,20989.10984249084,47.02285031847134
Сицилийский,2025-11-01,2026-05-17,Роллы,Роллы,117.0,120.0,29400.82,34866.0,9812.12,0.3337362699407704,19588.699999999997,0.6662637300592296,19588.7,251.28905982905982
Классический с огурцом,2025-11-01,2026-05-17,Роллы,Роллы,191.0,230.0,29365.29,34518.0,7252.109999999999,0.24696197449437748,22113.18,0.7530380255056225,22113.18,153.74497382198953
Сакура,2025-11-01,2026-05-17,Роллы,Роллы,115.0,116.0,28182.119999999995,32639.0,6402.296666666666,0.22717583583728504,21779.82333333333,0.772824164162715,21779.823333333334,245.06191304347823
Унаги Чиз,2025-11-01,2026-05-17,Роллы,Роллы,77.0,77.0,27010.829999999998,34360.0,8966.859999999999,0.33197276796011077,18043.97,0.6680272320398892,18043.97,350.78999999999996
Аляска,2025-11-01,2026-05-17,Роллы,Роллы,82.0,86.0,25488.55,29330.0,8282.29,0.32494159142046136,17206.26,0.6750584085795386,17206.260000000002,310.8359756097561
Филадельфия тар-тар,2025-11-01,2026-05-17,Роллы,Роллы,80.0,80.0,24504.68,30222.0,9485.369999999999,0.3870840182365164,15019.310000000001,0.6129159817634836,15019.31,306.3085
Бархат,2025-11-01,2026-05-17,Роллы,Роллы,67.0,68.0,23837.64,28645.0,7653.42,0.3210645013516439,16184.22,0.6789354986483561,16184.220000000001,355.78567164179105
Мидии бекон,2025-11-01,2026-05-17,Роллы,Роллы,83.0,87.0,23646.94,29123.0,7819.770000000001,0.3306884527131207,15827.169999999998,0.6693115472868794,15827.169999999998,284.90289156626505
Эби том-ям,2025-11-01,2026-05-17,Роллы,Роллы,82.0,82.0,23336.05,29640.0,7535.36,0.32290640446862257,15800.689999999999,0.6770935955313774,15800.69,284.5859756097561
Фукуока,2025-11-01,2026-05-17,Роллы,Роллы,54.0,56.0,22908.82,28515.0,6947.39,0.3032626735030438,15961.43,0.6967373264969562,15961.429999999998,424.2374074074074
Чикен чиз,2025-11-01,2026-05-17,Роллы,Роллы,67.0,73.0,22559.0,27915.0,5101.56,0.226143002792677,17457.44,0.7738569972073229,17457.44,336.7014925373134
Фурай,2025-11-01,2026-05-17,Роллы,Роллы,77.0,77.0,22473.82,26510.0,6874.275000000001,0.30587924082332246,15599.544999999998,0.6941207591766775,15599.545,291.8677922077922
Кабуки,2025-11-01,2026-05-17,Роллы,Роллы,71.0,72.0,22260.19,25810.0,8860.630000000001,0.39804826463745374,13399.559999999998,0.6019517353625462,13399.560000000001,313.52380281690137
Нежный том ям,2025-11-01,2026-05-17,Роллы,Роллы,65.0,93.0,22148.909999999996,37090.0,7425.6258333333335,0.3352591993616541,14723.284166666663,0.6647408006383458,14723.284166666668,340.7524615384615
Морс черная смородина,2025-11-01,2026-05-17,Напитки,Напитки,119.0,146.0,21643.4,25680.0,6573.173333333334,0.30370336145584026,15070.226666666667,0.6962966385441597,15070.226666666666,181.87731092436977
Нагасаки,2025-11-01,2026-05-17,Роллы,Роллы,102.0,102.0,21102.179999999997,27122.0,5919.3099999999995,0.28050703766151175,15182.869999999997,0.7194929623384883,15182.869999999999,206.8841176470588
Классический с тунцом,2025-11-01,2026-05-17,Роллы,Роллы,108.0,120.0,20690.799999999996,24850.0,7610.250000000001,0.3678083979353144,13080.549999999996,0.6321916020646857,13080.550000000001,191.58148148148143
Чикен,2025-11-01,2026-05-17,Роллы,Роллы,88.0,91.0,20221.89,25577.0,5275.85,0.260897967499576,14946.039999999999,0.739102032500424,14946.04,229.79420454545453
Соус красный,2025-11-01,2026-05-17,Соусы,Все блюда,162.0,188.0,20070.190000000002,23755.0,2600.325,0.12956155372719438,17469.865,0.8704384462728055,17469.865,123.89006172839508
Мидии Яки,2025-11-01,2026-05-17,Роллы,Роллы,68.0,69.0,20016.02,23531.0,6259.14,0.3127065220758173,13756.880000000001,0.6872934779241827,13756.880000000001,294.35323529411767
Гринвич,2025-11-01,2026-05-17,Роллы,Роллы,66.0,67.0,19917.71,24435.0,7478.535000000001,0.37547162801346146,12439.175,0.6245283719865387,12439.174999999997,301.7834848484848
Хоккайдо,2025-11-01,2026-05-17,Роллы,Роллы,88.0,94.0,19322.21,24420.0,7047.95,0.3647590001350777,12274.259999999998,0.6352409998649222,12274.26,219.57056818181817
Банан апельсин,2025-11-01,2026-05-17,Роллы,Роллы,57.0,58.0,19161.13,23935.0,5890.8150000000005,0.3074356783759622,13270.315,0.6925643216240378,13270.314999999999,336.1601754385965
