Год,Мсц (цифрой),Дата,Сумма,Контрагент,Назначение платежа,Статья,Платеж/поступл
,,09.12.2024,"-4 280,00",[counterparty_hash:2a84eb0be0],[private_purpose_hash:79e466fb39],Содержание торговых точек,
,,09.12.2024,"-675,00",[counterparty_hash:2a84eb0be0],[private_purpose_hash:60501f623c],Содержание торговых точек,
,,09.12.2024,"-457,00",[counterparty_hash:2a84eb0be0],[private_purpose_hash:adec5ad52d],Содержание торговых точек,
,,09.12.2024,"1 562,00",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,
,,09.12.2024,"-6,25",[counterparty_hash:a079b1ede6],,Эквайринг,
,,09.12.2024,"-1 490,87",[counterparty_hash:2a84eb0be0],,Содержание торговых точек,
,,09.12.2024,"-1 926,85",[counterparty_hash:2a84eb0be0],,Оплата поставщикам ,
,,09.12.2024,"-2 445,53",[counterparty_hash:2a84eb0be0],,Расходы на питание персонала,
,,10.12.2024,"48 482,50",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,
,,10.12.2024,"-727,36",[counterparty_hash:a079b1ede6],,Эквайринг,
,,10.12.2024,"2 880,00",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,
,,10.12.2024,"-11,52",[counterparty_hash:a079b1ede6],,Эквайринг,
,,10.12.2024,"-162 812,00",,,Выбытие — Перевод между счетами,
,,10.12.2024,"-6 560,00",[counterparty_hash:2a84eb0be0],[private_purpose_hash:8ceed8ffc7],Содержание торговых точек,
,,10.12.2024,"-244,96",[counterparty_hash:2a84eb0be0],,Расходы на питание персонала,
,,09.12.2024,"-7 910,00",[counterparty_hash:856bc7fd96],,Курьерская служба -,
,,09.12.2024,"7 924,00",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,
,,09.12.2024,"-7 161,00",[counterparty_hash:2a84eb0be0],,Оплата поставщикам ,
,,09.12.2024,"-5 000,00",[counterparty_hash:2a84eb0be0],,Оплата поставщикам ,
,,09.12.2024,"-600,00",[counterparty_hash:7518be4ba8],[private_purpose_hash:31b30968bd],Содержание торговых точек,
,,10.12.2024,"-9 260,00",[counterparty_hash:856bc7fd96],,Курьерская служба -,
,,10.12.2024,"11 396,00",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,
,,10.12.2024,"-10 000,00",[counterparty_hash:856bc7fd96],[private_purpose_hash:0f4f0e9773],Зарплата производственного персонала,
,,10.12.2024,"-157 352,00",[counterparty_hash:856bc7fd96],,Зарплата производственного персонала,
,,10.12.2024,"162 811,00",,,Поступление — Перевод между счетами,
,,11.12.2024,"-1 500,00",[counterparty_hash:7d88c914c2],,Аренда торговых точек,
,,11.12.2024,"-6 014,00",[counterparty_hash:2a84eb0be0],,Оплата поставщикам ,
,,11.12.2024,"-318,00",[counterparty_hash:2a84eb0be0],,Расходы на питание персонала,
,,11.12.2024,"-8 310,00",[counterparty_hash:856bc7fd96],,Курьерская служба -,
,,11.12.2024,"9 515,00",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,
,,11.12.2024,"19 806,79",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,
,,11.12.2024,"-35,12",[counterparty_hash:a079b1ede6],,Эквайринг,
,,11.12.2024,"73 246,35",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,
,,11.12.2024,"-1 098,83",[counterparty_hash:a079b1ede6],,Эквайринг,
,,11.12.2024,"-3 421,13",[counterparty_hash:9a7ac913a7],,Аренда торговых точек,
,,11.12.2024,"-789,19",[counterparty_hash:9a7ac913a7],,Аренда торговых точек,
,,11.12.2024,"-500,00",[counterparty_hash:b2d09b6565],,Аренда торговых точек,
,,11.12.2024,"-12 885,00",[counterparty_hash:e1cb4e2da2],,Оплаты систем автоматизации,
,,11.12.2024,"-104 797,00",[counterparty_hash:4e9e5a80a9],,Сайт и приложение,
,,11.12.2024,"-2 200,00",[counterparty_hash:2c9dd7c496],,Телекоммуникации,
,,11.12.2024,"-2 000,00",[counterparty_hash:b2d09b6565],,Аренда торговых точек,
,,11.12.2024,"-28 000,00",[counterparty_hash:5825737bc2],,Прочие маркетинговые услуги,
,,11.12.2024,"2 721,00",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,
,,11.12.2024,"-10,88",[counterparty_hash:a079b1ede6],,Эквайринг,
,,11.12.2024,"320,00",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,
,,11.12.2024,"-1,28",[counterparty_hash:a079b1ede6],,Эквайринг,
,,11.12.2024,"-6,06",[counterparty_hash:a079b1ede6],,Эквайринг,
,,11.12.2024,"1 305,00",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,
,,11.12.2024,"-5,22",[counterparty_hash:a079b1ede6],,Эквайринг,
,,11.12.2024,"-2 416,14",[counterparty_hash:2a84eb0be0],,Расходы на питание персонала,
,,11.12.2024,"-13,99",[counterparty_hash:2a84eb0be0],,Содержание торговых точек,
,,11.12.2024,"-440,99",[counterparty_hash:2a84eb0be0],,Оплата поставщикам ,
,,12.12.2024,"4 500,00",[counterparty_hash:856bc7fd96],[private_purpose_hash:671d910092],Курьерская служба +,
,,12.12.2024,"12 350,80",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,
,,12.12.2024,"-13,82",[counterparty_hash:a079b1ede6],,Эквайринг,
,,12.12.2024,"55 537,00",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,
,,12.12.2024,"-833,18",[counterparty_hash:a079b1ede6],,Эквайринг,
,,12.12.2024,"-4 500,00",,,Выбытие — Перевод между счетами,
,,12.12.2024,"4 500,00",,,Поступление — Перевод между счетами,
,,12.12.2024,"-6 198,56",[counterparty_hash:10ad09b2bf],,Оплата поставщикам ,
,,12.12.2024,"83,00",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,
,,12.12.2024,"-0,33",[counterparty_hash:a079b1ede6],,Эквайринг,
,,12.12.2024,"586,00",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,
,,12.12.2024,"-2,34",[counterparty_hash:a079b1ede6],,Эквайринг,
,,12.12.2024,"-4 180,00",[counterparty_hash:1340ea64e9],,Оплата поставщикам ,
,,12.12.2024,"-9 240,00",[counterparty_hash:856bc7fd96],,Курьерская служба -,
,,12.12.2024,"9 095,00",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,
,,13.12.2024,"93 565,00",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,
