Год,Мсц (цифрой),Дата,Сумма,Контрагент,Назначение платежа,Статья,Платеж/поступл
2024,1,03.01.2024,"-20 000,00",,,Выбытие — Перевод между счетами,
2024,1,03.01.2024,"-1 000,00",,,Корретировки кассы -,Выбытие
2024,1,03.01.2024,"-6 540,00",[counterparty_hash:856bc7fd96],,Курьерская служба -,Выбытие
2024,1,03.01.2024,"8 880,00",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,Поступление
2024,1,03.01.2024,"131,00",,,Корретировки кассы +,Поступление
2024,1,03.01.2024,"-7 980,00",[counterparty_hash:856bc7fd96],,Курьерская служба -,Выбытие
2024,1,03.01.2024,"21 591,00",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,Поступление
2024,1,04.01.2024,"-6 260,00",[counterparty_hash:856bc7fd96],,Курьерская служба -,Выбытие
2024,1,04.01.2024,"21 718,00",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,Поступление
2024,1,04.01.2024,"-10 033,00",[counterparty_hash:2a84eb0be0],,Оплата поставщикам ,Выбытие
2024,1,04.01.2024,"16 770,00",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,Поступление
2024,1,04.01.2024,"-6 440,00",[counterparty_hash:856bc7fd96],,Курьерская служба -,Выбытие
2024,1,04.01.2024,"-7 959,00",[counterparty_hash:2a84eb0be0],,Оплата поставщикам ,Выбытие
2024,1,03.01.2024,"-37 953,00",,,Выбытие — Перевод между счетами,
2024,1,03.01.2024,"-62 000,00",[counterparty_hash:9d002889b3],,Зарплата административного персонала,Выбытие
2024,1,03.01.2024,"-30 000,00",[counterparty_hash:913fe52b19],,Зарплата административного персонала,Выбытие
2024,1,03.01.2024,"37 953,00",,,Поступление — Перевод между счетами,
2024,1,03.01.2024,"92 000,00",,,Поступление — Перевод между счетами,
2024,1,02.01.2024,"13 580,76",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,Поступление
2024,1,02.01.2024,"-28,14",[counterparty_hash:a079b1ede6],,Эквайринг,Выбытие
2024,1,03.01.2024,"14 838,64",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,Поступление
2024,1,03.01.2024,"-45,29",[counterparty_hash:a079b1ede6],,Эквайринг,Выбытие
2024,1,03.01.2024,"-121 900,00",,,Выбытие — Перевод между счетами,
2024,1,04.01.2024,"28 686,06",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,Поступление
2024,1,04.01.2024,"-27,43",[counterparty_hash:a079b1ede6],,Эквайринг,Выбытие
2024,1,01.01.2024,"-2 469,19",[counterparty_hash:a079b1ede6],,Эквайринг,Выбытие
2024,1,01.01.2024,"-90,00",[counterparty_hash:a079b1ede6],,Овердрафт,Выбытие
2024,1,01.01.2024,"164 594,00",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,Поступление
2024,1,03.01.2024,"258 122,38",[counterparty_hash:a079b1ede6],,Получение овердрафта,Поступление
2024,1,03.01.2024,"-27 132,23",[counterparty_hash:a079b1ede6],,Погашение овердрафта,Выбытие
2024,1,03.01.2024,"-37 953,00",,,Выбытие — Перевод между счетами,
2024,1,03.01.2024,"-132 951,08",[counterparty_hash:01761130fc],,Оплата поставщикам ,Выбытие
2024,1,03.01.2024,"-105 068,07",[counterparty_hash:81088c4e1c],,Оплата поставщикам ,Выбытие
2024,1,03.01.2024,"-35 592,98",[counterparty_hash:55d2a5f343],,Оплата поставщикам ,Выбытие
2024,1,03.01.2024,"-12 372,00",[counterparty_hash:4b0e39f45b],,Оплата поставщикам ,Выбытие
2024,1,03.01.2024,"-22 680,00",[counterparty_hash:81088c4e1c],,Оплата поставщикам ,Выбытие
2024,1,03.01.2024,"-39 091,21",[counterparty_hash:acffbdf399],,Оплата поставщикам ,Выбытие
2024,1,03.01.2024,"-37 745,62",[counterparty_hash:acffbdf399],,Оплата поставщикам ,Выбытие
2024,1,03.01.2024,"121 900,00",,,Поступление — Перевод между счетами,
2024,1,03.01.2024,"529,00",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,Поступление
2024,1,03.01.2024,"-92 000,00",,,Выбытие — Перевод между счетами,
2024,1,03.01.2024,"37 953,00",,,Поступление — Перевод между счетами,
2024,1,03.01.2024,"20 000,00",,,Поступление — Перевод между счетами,
2024,1,03.01.2024,"-22 500,00",[counterparty_hash:856bc7fd96],,Зарплата административного персонала,Выбытие
2024,1,03.01.2024,"-137 253,00",[counterparty_hash:856bc7fd96],,Зарплата производственного персонала,Выбытие
2024,1,04.01.2024,"-3 600,00",[counterparty_hash:b2b25bc0ee],,Поиск и найм персонала,Выбытие
2024,1,05.01.2024,"32 607,90",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,Поступление
2024,1,05.01.2024,"-40,23",[counterparty_hash:a079b1ede6],,Эквайринг,Выбытие
2024,1,06.01.2024,"30 659,84",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,Поступление
2024,1,06.01.2024,"-34,73",[counterparty_hash:a079b1ede6],,Эквайринг,Выбытие
2024,1,07.01.2024,"29 740,35",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,Поступление
2024,1,07.01.2024,"-39,61",[counterparty_hash:a079b1ede6],,Эквайринг,Выбытие
2024,1,08.01.2024,"25 933,26",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,Поступление
2024,1,08.01.2024,"-18,19",[counterparty_hash:a079b1ede6],,Эквайринг,Выбытие
2024,1,09.01.2024,"13 257,54",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,Поступление
2024,1,09.01.2024,"-168 000,00",,,Выбытие — Перевод между счетами,
2024,1,09.01.2024,"-1,57",[counterparty_hash:a079b1ede6],,Эквайринг,Выбытие
2024,1,10.01.2024,"-299,00",[counterparty_hash:a079b1ede6],,РКО,Выбытие
2024,1,10.01.2024,"12 162,32",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,Поступление
2024,1,10.01.2024,"-23,47",[counterparty_hash:a079b1ede6],,Эквайринг,Выбытие
2024,1,04.01.2024,"115 571,00",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,Поступление
2024,1,04.01.2024,"-2,12",[counterparty_hash:a079b1ede6],,Эквайринг,Выбытие
2024,1,04.01.2024,"-490,00",[counterparty_hash:a079b1ede6],,Овердрафт,Выбытие
2024,1,04.01.2024,"-590,00",[counterparty_hash:a079b1ede6],,Овердрафт,Выбытие
2024,1,04.01.2024,"-1 733,82",[counterparty_hash:a079b1ede6],,Эквайринг,Выбытие
2024,1,04.01.2024,"-5 297,66",[counterparty_hash:2a84eb0be0],,Оплата поставщикам ,Выбытие
2024,1,04.01.2024,"-2 333,51",[counterparty_hash:2a84eb0be0],,Расходы на питание персонала,Выбытие
2024,1,04.01.2024,"-42,95",[counterparty_hash:2a84eb0be0],,Содержание торговых точек,Выбытие
2024,1,05.01.2024,"-112 755,06",[counterparty_hash:a079b1ede6],,Погашение овердрафта,Выбытие
2024,1,05.01.2024,"-80 863,98",[counterparty_hash:a079b1ede6],,Погашение овердрафта,Выбытие
2024,1,05.01.2024,"250,00",[counterparty_hash:a079b1ede6],,Получение овердрафта,Поступление
2024,1,05.01.2024,"7 674,12",[counterparty_hash:a079b1ede6],,Получение овердрафта,Поступление
2024,1,05.01.2024,"82 390,00",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,Поступление
2024,1,05.01.2024,"-250,00",[counterparty_hash:2a84eb0be0],,Содержание торговых точек,Выбытие
2024,1,05.01.2024,"-290,00",[counterparty_hash:a079b1ede6],,Овердрафт,Выбытие
2024,1,05.01.2024,"-1 236,02",[counterparty_hash:a079b1ede6],,Эквайринг,Выбытие
2024,1,06.01.2024,"-1 366,49",[counterparty_hash:a079b1ede6],,Эквайринг,Выбытие
2024,1,06.01.2024,"91 089,30",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,Поступление
2024,1,06.01.2024,"-190,00",[counterparty_hash:a079b1ede6],,Овердрафт,Выбытие
2024,1,06.01.2024,"125,00",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,Поступление
2024,1,06.01.2024,"-0,50",[counterparty_hash:a079b1ede6],,Эквайринг,Выбытие
2024,1,06.01.2024,"-1 784,86",[counterparty_hash:2a84eb0be0],,Оплата поставщикам ,Выбытие
2024,1,06.01.2024,"-1 840,62",[counterparty_hash:2a84eb0be0],,Расходы на питание персонала,Выбытие
2024,1,06.01.2024,"-633,65",[counterparty_hash:2a84eb0be0],,Содержание торговых точек,Выбытие
2024,1,07.01.2024,"-1 491,45",[counterparty_hash:a079b1ede6],,Эквайринг,Выбытие
2024,1,07.01.2024,"99 418,00",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,Поступление
2024,1,07.01.2024,"-5 000,00",[counterparty_hash:810942d5fa],,Телекоммуникации,Выбытие
2024,1,07.01.2024,"1 199,00",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,Поступление
2024,1,07.01.2024,"-4,80",[counterparty_hash:a079b1ede6],,Эквайринг,Выбытие
2024,1,07.01.2024,"250,00",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,Поступление
2024,1,07.01.2024,"-1,00",[counterparty_hash:a079b1ede6],,Эквайринг,Выбытие
2024,1,07.01.2024,"-16 507,00",[counterparty_hash:bd892aa017],,Комиссия партнерам,Выбытие
2024,1,07.01.2024,"-2 050,00",[counterparty_hash:2a84eb0be0],,Расходы на персонал,Выбытие
2024,1,07.01.2024,"-1 382,15",[counterparty_hash:2a84eb0be0],,Оплата поставщикам ,Выбытие
2024,1,08.01.2024,"-1 216,38",[counterparty_hash:a079b1ede6],,Эквайринг,Выбытие
2024,1,08.01.2024,"81 081,00",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,Поступление
2024,1,08.01.2024,"-16 705,00",,,Выбытие — Перевод между счетами,
2024,1,08.01.2024,"1 064,00",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,Поступление
2024,1,08.01.2024,"-4,26",[counterparty_hash:a079b1ede6],,Эквайринг,Выбытие
2024,1,08.01.2024,"-1 222,48",[counterparty_hash:81088c4e1c],,Оплата поставщикам ,Выбытие
2024,1,08.01.2024,"-202 129,62",[counterparty_hash:01761130fc],,Оплата поставщикам ,Выбытие
2024,1,08.01.2024,"-6 749,27",[counterparty_hash:2a84eb0be0],,Оплата поставщикам ,Выбытие
2024,1,09.01.2024,"-53 639,07",[counterparty_hash:55d2a5f343],,Оплата поставщикам ,Выбытие
2024,1,09.01.2024,"-17 010,00",[counterparty_hash:81088c4e1c],,Оплата поставщикам ,Выбытие
2024,1,09.01.2024,"-97 047,44",[counterparty_hash:81088c4e1c],,Оплата поставщикам ,Выбытие
2024,1,09.01.2024,"-21 566,00",[counterparty_hash:4b0e39f45b],,Оплата поставщикам ,Выбытие
2024,1,09.01.2024,"75 804,15",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,Поступление
2024,1,09.01.2024,"-490,00",[counterparty_hash:a079b1ede6],,Овердрафт,Выбытие
2024,1,09.01.2024,"-190,00",[counterparty_hash:a079b1ede6],,Овердрафт,Выбытие
2024,1,09.01.2024,"-1 137,21",[counterparty_hash:a079b1ede6],,Эквайринг,Выбытие
2024,1,09.01.2024,"168 000,00",,,Поступление — Перевод между счетами,
2024,1,09.01.2024,"600,00",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,Поступление
2024,1,09.01.2024,"-3 630,00",[counterparty_hash:2a84eb0be0],,Содержание торговых точек,Выбытие
2024,1,09.01.2024,"-7 428,00",[counterparty_hash:10ad09b2bf],,Оплата поставщикам ,Выбытие
2024,1,09.01.2024,"-87 450,00",,,Выбытие — Перевод между счетами,
2024,1,09.01.2024,"-270,00",[counterparty_hash:2a84eb0be0],,Содержание торговых точек,Выбытие
2024,1,09.01.2024,"1 237,00",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,Поступление
2024,1,09.01.2024,"-2,40",[counterparty_hash:a079b1ede6],,Эквайринг,Выбытие
2024,1,09.01.2024,"58 480,89",[counterparty_hash:a079b1ede6],,Получение овердрафта,Поступление
2024,1,09.01.2024,"97 543,40",[counterparty_hash:a079b1ede6],,Получение овердрафта,Поступление
2024,1,09.01.2024,"-72 427,66",[counterparty_hash:a079b1ede6],,Погашение овердрафта,Выбытие
2024,1,09.01.2024,"-52 724,43",[counterparty_hash:a079b1ede6],,Погашение овердрафта,Выбытие
2024,1,09.01.2024,"-600,00",[counterparty_hash:a079b1ede6],,Погашение овердрафта,Выбытие
2024,1,10.01.2024,"54 342,00",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,Поступление
2024,1,10.01.2024,"-4,95",[counterparty_hash:a079b1ede6],,Эквайринг,Выбытие
2024,1,10.01.2024,"-290,00",[counterparty_hash:a079b1ede6],,Овердрафт,Выбытие
2024,1,10.01.2024,"-816,24",[counterparty_hash:a079b1ede6],,Эквайринг,Выбытие
2024,1,10.01.2024,"-40 000,00",,,Выбытие — Перевод между счетами,
2024,1,10.01.2024,"1 477,00",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,Поступление
2024,1,10.01.2024,"-53 231,81",[counterparty_hash:a079b1ede6],,Погашение овердрафта,Выбытие
2024,1,10.01.2024,"48 275,81",[counterparty_hash:a079b1ede6],,Получение овердрафта,Поступление
2024,1,10.01.2024,"-8 853,93",[counterparty_hash:2a84eb0be0],,Оплата поставщикам ,Выбытие
2024,1,10.01.2024,"-411,94",[counterparty_hash:2a84eb0be0],,Содержание торговых точек,Выбытие
2024,1,10.01.2024,"-485,94",[counterparty_hash:2a84eb0be0],,Расходы на питание персонала,Выбытие
2024,1,05.01.2024,"-28 800,00",,,Выбытие — Перевод между счетами,
2024,1,09.01.2024,"-3 000,00",,,Выбытие — Перевод между счетами,
2024,1,05.01.2024,"-12 530,00",[counterparty_hash:856bc7fd96],,Курьерская служба -,Выбытие
2024,1,05.01.2024,"-1 350,00",[counterparty_hash:e0e7137bcf],,Транспортные услуги,Выбытие
2024,1,05.01.2024,"22 433,25",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,Поступление
2024,1,06.01.2024,"-4 312,00",[counterparty_hash:2a84eb0be0],,Оплата поставщикам ,Выбытие
2024,1,06.01.2024,"-12 100,00",[counterparty_hash:856bc7fd96],,Курьерская служба -,Выбытие
2024,1,06.01.2024,"32 208,75",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,Поступление
2024,1,07.01.2024,"-12 280,00",[counterparty_hash:856bc7fd96],,Курьерская служба -,Выбытие
2024,1,07.01.2024,"27 772,00",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,Поступление
2024,1,08.01.2024,"-11 040,00",[counterparty_hash:856bc7fd96],,Курьерская служба -,Выбытие
2024,1,08.01.2024,"-300,00",[counterparty_hash:856bc7fd96],,Содержание торговых точек,Выбытие
2024,1,08.01.2024,"18 752,00",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,Поступление
2024,1,08.01.2024,"-91,00",[counterparty_hash:2a84eb0be0],,Расходы на питание персонала,Выбытие
2024,1,08.01.2024,"-7 549,00",[counterparty_hash:2a84eb0be0],,Оплата поставщикам ,Выбытие
2024,1,09.01.2024,"-8 300,00",[counterparty_hash:856bc7fd96],,Курьерская служба -,Выбытие
2024,1,09.01.2024,"25 651,00",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,Поступление
2024,1,09.01.2024,"-37 000,00",,,Выбытие — Перевод между счетами,
2024,1,10.01.2024,"-2 350,00",[counterparty_hash:e0e7137bcf],,Транспортные услуги,Выбытие
2024,1,10.01.2024,"-10 000,00",[counterparty_hash:856bc7fd96],,Курьерская служба -,Выбытие
2024,1,10.01.2024,"-1 355,00",[counterparty_hash:2a84eb0be0],,Содержание торговых точек,Выбытие
2024,1,10.01.2024,"-9 381,00",[counterparty_hash:2a84eb0be0],,Оплата поставщикам ,Выбытие
2024,1,10.01.2024,"16 510,00",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,Поступление
2024,1,10.01.2024,"-4 700,00",[counterparty_hash:856bc7fd96],,Содержание торговых точек,Выбытие
2024,1,11.01.2024,"-2 900,00",[counterparty_hash:b2b25bc0ee],,Поиск и найм персонала,Выбытие
2024,1,11.01.2024,"-8 720,00",[counterparty_hash:856bc7fd96],,Курьерская служба -,Выбытие
2024,1,11.01.2024,"14 949,00",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,Поступление
2024,1,05.01.2024,"28 800,00",,,Поступление — Перевод между счетами,
2024,1,09.01.2024,"37 000,00",,,Поступление — Перевод между счетами,
2024,1,09.01.2024,"87 450,00",,,Поступление — Перевод между счетами,
2024,1,09.01.2024,"3 000,00",,,Поступление — Перевод между счетами,
2024,1,09.01.2024,"-5 000,00",[counterparty_hash:856bc7fd96],,Зарплата административного персонала,Выбытие
2024,1,09.01.2024,"-167 050,00",[counterparty_hash:856bc7fd96],,Зарплата производственного персонала,Выбытие
2024,1,11.01.2024,"32 902,79",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,Поступление
2024,1,11.01.2024,"-34,37",[counterparty_hash:a079b1ede6],,Эквайринг,Выбытие
2024,1,11.01.2024,"-50 000,00",[counterparty_hash:48d0f61ee3],,Аренда торговых точек,Выбытие
2024,1,11.01.2024,"130 636,48",[counterparty_hash:a079b1ede6],,Получение овердрафта,Поступление
2024,1,11.01.2024,"62 970,00",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,Поступление
2024,1,11.01.2024,"-64 083,00",[counterparty_hash:48d0f61ee3],,Аренда торговых точек,Выбытие
2024,1,11.01.2024,"-2 400,00",[counterparty_hash:2c9dd7c496],,Телекоммуникации,Выбытие
2024,1,11.01.2024,"-1 000,00",[counterparty_hash:b2d09b6565],,Аренда торговых точек,Выбытие
2024,1,11.01.2024,"-61 830,38",[counterparty_hash:a079b1ede6],,Погашение овердрафта,Выбытие
2024,1,11.01.2024,"-7 673,00",[counterparty_hash:48d0f61ee3],[private_purpose_hash:87fe232f97],Аренда торговых точек,Выбытие
2024,1,11.01.2024,"-944,71",[counterparty_hash:a079b1ede6],,Эквайринг,Выбытие
2024,1,11.01.2024,"-190,00",[counterparty_hash:a079b1ede6],,Овердрафт,Выбытие
2024,1,11.01.2024,"-4,91",[counterparty_hash:a079b1ede6],,Эквайринг,Выбытие
2024,1,11.01.2024,"-4 000,00",[counterparty_hash:b2d09b6565],,Аренда торговых точек,Выбытие
2024,1,11.01.2024,"-1 291,71",[counterparty_hash:2a84eb0be0],,Оплата поставщикам ,Выбытие
2024,1,11.01.2024,"-179,78",[counterparty_hash:2a84eb0be0],,Расходы на питание персонала,Выбытие
2024,1,11.01.2024,"-8,99",[counterparty_hash:2a84eb0be0],,Содержание торговых точек,Выбытие
2024,1,12.01.2024,"-12 920,00",[counterparty_hash:856bc7fd96],,Курьерская служба -,Выбытие
2024,1,12.01.2024,"28 192,50",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,Поступление
2024,1,12.01.2024,"-1 016,00",[counterparty_hash:913fe52b19],,Зарплата административного персонала,Выбытие
2024,1,12.01.2024,"-90,00",[counterparty_hash:2a84eb0be0],,Расходы на питание персонала,Выбытие
2024,1,12.01.2024,"-5 562,00",[counterparty_hash:2a84eb0be0],,Оплата поставщикам ,Выбытие
2024,1,12.01.2024,"-2 476,32",[counterparty_hash:64b5ca4d90],,Оплата поставщикам ,Выбытие
2024,1,13.01.2024,"-3 342,00",[counterparty_hash:2a84eb0be0],,Оплата поставщикам ,Выбытие
2024,1,13.01.2024,"-16 900,00",[counterparty_hash:856bc7fd96],,Курьерская служба -,Выбытие
2024,1,13.01.2024,"45 351,35",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,Поступление
2024,1,14.01.2024,"-9 568,00",[counterparty_hash:2a84eb0be0],,Оплата поставщикам ,Выбытие
2024,1,14.01.2024,"30 634,00",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,Поступление
2024,1,14.01.2024,"1 871,15",,,Корретировки кассы +,Поступление
2024,1,12.01.2024,"32 216,73",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,Поступление
2024,1,12.01.2024,"-57,40",[counterparty_hash:a079b1ede6],,Эквайринг,Выбытие
2024,1,13.01.2024,"29 959,09",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,Поступление
2024,1,13.01.2024,"-49,43",[counterparty_hash:a079b1ede6],,Эквайринг,Выбытие
2024,1,14.01.2024,"36 925,08",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,Поступление
2024,1,14.01.2024,"-33,25",[counterparty_hash:a079b1ede6],,Эквайринг,Выбытие
2024,1,12.01.2024,"53 946,00",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,Поступление
2024,1,12.01.2024,"-290,00",[counterparty_hash:a079b1ede6],,Овердрафт,Выбытие
2024,1,12.01.2024,"-809,31",[counterparty_hash:a079b1ede6],,Эквайринг,Выбытие
2024,1,12.01.2024,"-9 028,85",[counterparty_hash:2a84eb0be0],,Оплата поставщикам ,Выбытие
2024,1,12.01.2024,"-2 086,73",[counterparty_hash:2a84eb0be0],,Расходы на питание персонала,Выбытие
2024,1,12.01.2024,"-52 846,69",[counterparty_hash:a079b1ede6],,Погашение овердрафта,Выбытие
2024,1,12.01.2024,"11 115,58",[counterparty_hash:a079b1ede6],,Получение овердрафта,Поступление
2024,1,13.01.2024,"81 826,30",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,Поступление
2024,1,13.01.2024,"-290,00",[counterparty_hash:a079b1ede6],,Овердрафт,Выбытие
2024,1,13.01.2024,"-1 227,57",[counterparty_hash:a079b1ede6],,Эквайринг,Выбытие
2024,1,13.01.2024,"-8,00",[counterparty_hash:2a84eb0be0],,Содержание торговых точек,Выбытие
2024,1,13.01.2024,"-3 936,26",[counterparty_hash:2a84eb0be0],,Оплата поставщикам ,Выбытие
2024,1,14.01.2024,"-1 786,67",[counterparty_hash:a079b1ede6],,Эквайринг,Выбытие
2024,1,14.01.2024,"119 096,00",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,Поступление
2024,1,14.01.2024,"-90,00",[counterparty_hash:a079b1ede6],,Овердрафт,Выбытие
2024,1,14.01.2024,"-7 720,98",[counterparty_hash:2a84eb0be0],,Оплата поставщикам ,Выбытие
2024,1,14.01.2024,"-265,95",[counterparty_hash:2a84eb0be0],,Содержание торговых точек,Выбытие
2024,1,14.01.2024,"-980,09",[counterparty_hash:2a84eb0be0],,Расходы на питание персонала,Выбытие
2024,1,14.01.2024,"-850,00",[counterparty_hash:e0e7137bcf],[private_purpose_hash:71d3ef7d07],Оплата поставщикам ,Выбытие
2024,1,14.01.2024,"-12 960,00",[counterparty_hash:856bc7fd96],,Курьерская служба -,Выбытие
2024,1,15.01.2024,"-50 000,00",,,Выбытие — Перевод между счетами,
2024,1,15.01.2024,"-1 350,00",[counterparty_hash:e0e7137bcf],,Транспортные услуги,Выбытие
2024,1,15.01.2024,"2,32",,,Корретировки кассы +,Поступление
2024,1,15.01.2024,"-7 940,00",[counterparty_hash:856bc7fd96],,Курьерская служба -,Выбытие
2024,1,15.01.2024,"14 505,00",,,Поступление денег с торг. точек,Поступление
2024,1,08.01.2024,"16 705,00",,,Поступление — Перевод между счетами,
2024,1,09.01.2024,"-18 459,00",[counterparty_hash:a079b1ede6],,Оплаты по кредитам и займам,Выбытие
2024,1,09.01.2024,"87 450,00",,,Поступление — Перевод между счетами,
2024,1,09.01.2024,"-87 450,00",,,Выбытие — Перевод между счетами,
2024,1,10.01.2024,"40 000,00",,,Поступление — Перевод между счетами,
2024,1,10.01.2024,"-40 000,00",[counterparty_hash:913fe52b19],,Зарплата административного персонала,Выбытие
2024,1,11.01.2024,"-79,35",[counterparty_hash:a079b1ede6],,РКО,Выбытие
2024,1,15.01.2024,"29 920,22",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,Поступление
2024,1,15.01.2024,"-170 000,00",,,Выбытие — Перевод между счетами,
2024,1,15.01.2024,"-19,89",[counterparty_hash:a079b1ede6],,Эквайринг,Выбытие
2024,1,16.01.2024,"14 700,44",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,Поступление
2024,1,16.01.2024,"-24,68",[counterparty_hash:a079b1ede6],,Эквайринг,Выбытие
2024,1,16.01.2024,"-10 060,00",[counterparty_hash:856bc7fd96],,Курьерская служба -,Выбытие
2024,1,16.01.2024,"23 071,00",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,Поступление
2024,1,16.01.2024,"-7 516,00",[counterparty_hash:1340ea64e9],,Оплата поставщикам ,Выбытие
2024,1,16.01.2024,"-160,00",[counterparty_hash:2a84eb0be0],,Расходы на питание персонала,Выбытие
2024,1,16.01.2024,"-10 013,00",[counterparty_hash:2a84eb0be0],,Оплата поставщикам ,Выбытие
2024,1,15.01.2024,"50 000,00",,,Поступление — Перевод между счетами,
2024,1,15.01.2024,"-1 000,00",[counterparty_hash:b2b25bc0ee],,Поиск и найм персонала,Выбытие
2024,1,16.01.2024,"135 000,00",,,Поступление — Перевод между счетами,
2024,1,16.01.2024,"-22 500,00",[counterparty_hash:856bc7fd96],,Зарплата административного персонала,Выбытие
2024,1,16.01.2024,"-161 500,00",[counterparty_hash:856bc7fd96],,Зарплата производственного персонала,Выбытие
2024,1,15.01.2024,"-1 143,29",[counterparty_hash:a079b1ede6],,Эквайринг,Выбытие
2024,1,15.01.2024,"76 209,00",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,Поступление
2024,1,15.01.2024,"170 000,00",,,Поступление — Перевод между счетами,
2024,1,15.01.2024,"-95 858,00",[counterparty_hash:4e9e5a80a9],,Сайт и приложение,Выбытие
2024,1,15.01.2024,"-88 100,00",[counterparty_hash:961b1c31cb],,Оплата поставщикам ,Выбытие
2024,1,15.01.2024,"-28 000,00",[counterparty_hash:5825737bc2],,Прочие маркетинговые услуги,Выбытие
2024,1,15.01.2024,"-5 000,00",[counterparty_hash:810942d5fa],,Телекоммуникации,Выбытие
2024,1,15.01.2024,"-124,56",[counterparty_hash:2a84eb0be0],,Расходы на питание персонала,Выбытие
2024,1,15.01.2024,"-1 988,00",[counterparty_hash:2a84eb0be0],,Оплата поставщикам ,Выбытие
2024,1,15.01.2024,"-80 308,73",[counterparty_hash:a079b1ede6],,Погашение овердрафта,Выбытие
2024,1,15.01.2024,"-48 454,38",[counterparty_hash:a079b1ede6],,Погашение овердрафта,Выбытие
2024,1,15.01.2024,"3 944,26",[counterparty_hash:a079b1ede6],,Получение овердрафта,Поступление
2024,1,16.01.2024,"-500,00",,,Выбытие — Перевод между счетами,
2024,1,16.01.2024,"-748,78",[counterparty_hash:a079b1ede6],,Эквайринг,Выбытие
2024,1,16.01.2024,"-280 000,00",,,Выбытие — Перевод между счетами,
2024,1,16.01.2024,"49 911,65",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,Поступление
2024,1,16.01.2024,"150 979,20",[counterparty_hash:a079b1ede6],,Получение овердрафта,Поступление
2024,1,16.01.2024,"-3 458,35",[counterparty_hash:2a84eb0be0],,Оплата поставщикам ,Выбытие
2024,1,16.01.2024,"-1 500,35",[counterparty_hash:2a84eb0be0],,Расходы на питание персонала,Выбытие
2024,1,16.01.2024,"-476,45",[counterparty_hash:2a84eb0be0],,Содержание торговых точек,Выбытие
2024,1,17.01.2024,"20 295,75",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,Поступление
2024,1,17.01.2024,"-26,60",[counterparty_hash:a079b1ede6],,Эквайринг,Выбытие
2024,1,17.01.2024,"5 801,36",[counterparty_hash:a079b1ede6],,Получение овердрафта,Поступление
