,,,,,,,,
Контрагент,Статья поступлений,Сумма план,Дата планируемого получения,Комментарий,,Год план,Месяц план,Номер недели план
[counterparty_hash:8009e18a18],Поступление денег с торг. точек,"р.130 000,00",03.10.24,,,2024,10,40
[counterparty_hash:335b2a2e9a],Поступление денег с торг. точек,"р.950 000,00",04.10.24,,,2024,10,40
[counterparty_hash:335b2a2e9a],Поступление денег с торг. точек,"р.920 000,00",11.10.24,,,2024,10,41
[counterparty_hash:335b2a2e9a],Поступление денег с торг. точек,"р.900 000,00",18.10.24,,,2024,10,42
[counterparty_hash:335b2a2e9a],Поступление денег с торг. точек,"р.930 000,00",25.10.24,,,2024,10,43
[counterparty_hash:335b2a2e9a],Поступление денег с торг. точек,"р.910 000,00",01.11.24,,,2024,11,44
[counterparty_hash:8009e18a18],Поступление денег с торг. точек,"р.150 000,00",04.11.24,,,2024,11,45
[counterparty_hash:335b2a2e9a],Поступление денег с торг. точек,"р.950 000,00",03.12.24,,,2024,12,49
[counterparty_hash:335b2a2e9a],Поступление денег с торг. точек,"р.950 000,00",10.12.24,,,2024,12,50
[counterparty_hash:335b2a2e9a],Поступление денег с торг. точек,"р.1 050 000,00",17.12.24,,,2024,12,51
[counterparty_hash:335b2a2e9a],Поступление денег с торг. точек,"р.1 200 000,00",24.12.24,,,2024,12,52
[counterparty_hash:8009e18a18],Поступление денег с торг. точек,"р.90 000,00",16.12.24,,,2024,12,51
[counterparty_hash:335b2a2e9a],Поступление денег с торг. точек,"р.500 000,00",31.12.24,,,2024,12,53
