,,,,,,,,,
Контрагент,Статья,Номер счета,Сумма план,Дата планируемой оплаты,Комментарий,,Год план,Месяц план,Номер недели план
[counterparty_hash:7518be4ba8],Содержание торговых точек,,"р.10 000,00",01.02.2024,,,2024,2,
[counterparty_hash:856bc7fd96],Курьерская служба -,,"р.90 000,00",05.01.2024,,,2024,1,
[counterparty_hash:856bc7fd96],Курьерская служба -,,"р.80 000,00",12.01.2024,,,2024,1,
[counterparty_hash:856bc7fd96],Курьерская служба -,,"р.80 000,00",19.01.2024,,,2024,1,
[counterparty_hash:856bc7fd96],Курьерская служба -,,"р.80 000,00",26.01.2024,,,2024,1,
[counterparty_hash:856bc7fd96],Курьерская служба -,,"р.80 000,00",31.01.2024,,,2024,1,
[counterparty_hash:913fe52b19],Зарплата административного персонала,,"р.40 000,00",09.01.2024,,,2024,1,
[counterparty_hash:a079b1ede6],Оплаты по кредитам и займам,,"р.19 000,00",09.01.2024,,,2024,1,
[counterparty_hash:a079b1ede6],Оплаты по кредитам и займам,,"р.45 000,00",16.01.2024,,,2024,1,
[counterparty_hash:a079b1ede6],Эквайринг,,"р.9 000,00",02.01.2024,,,2024,1,
[counterparty_hash:a079b1ede6],Эквайринг,,"р.9 000,00",10.01.2024,,,2024,1,
[counterparty_hash:a079b1ede6],Эквайринг,,"р.9 000,00",17.01.2024,,,2024,1,
[counterparty_hash:a079b1ede6],Эквайринг,,"р.9 000,00",24.01.2024,,,2024,1,
[counterparty_hash:a079b1ede6],Эквайринг,,"р.9 000,00",31.01.2024,,,2024,1,
[counterparty_hash:4e9e5a80a9],Сайт и приложение,,"р.85 000,00",11.01.2024,,,2024,1,
[counterparty_hash:48d0f61ee3],Аренда торговых точек,,"р.115 000,00",10.01.2024,,,2024,1,
[counterparty_hash:48d0f61ee3],Аренда торговых точек,,"р.100 000,00",29.01.2024,,,2024,1,
[counterparty_hash:48d0f61ee3],Аренда торговых точек,,"р.68 000,00",24.01.2024,,,2024,1,
[counterparty_hash:856bc7fd96],Расходы на питание персонала,,"р.9 000,00",2024-01-04,,,2024,1,
[counterparty_hash:856bc7fd96],Расходы на питание персонала,,"р.9 000,00",2024-01-09,,,2024,1,
[counterparty_hash:856bc7fd96],Расходы на питание персонала,,"р.9 000,00",2024-01-17,,,2024,1,
[counterparty_hash:856bc7fd96],Расходы на питание персонала,,"р.9 000,00",2024-01-24,,,2024,1,
[counterparty_hash:856bc7fd96],Расходы на питание персонала,,"р.9 000,00",2024-01-31,,,2024,1,
[counterparty_hash:168e057bae],Услуги ФД,,"р.75 000,00",2024-01-29,,,2024,1,
[counterparty_hash:2d609b655e],Контекстная реклама,,"р.60 000,00",2024-01-30,,,2024,1,
[counterparty_hash:3b5286b1f7],Комиссия агрегатору,,"р.6 000,00",2024-01-17,,,2024,1,
[counterparty_hash:48d0f61ee3],Аренда склада,,"р.4 000,00",2024-01-25,,,2024,1,
[counterparty_hash:9d002889b3],Дивиденды,,"р.75 000,00",2024-01-15,,,2024,1,
[counterparty_hash:913fe52b19],Дивиденды,,"р.75 000,00",2024-01-15,,,2024,1,
[counterparty_hash:bd892aa017],Комиссия партнерам,,"р.16 705,00",2024-01-06,,,2024,1,
[counterparty_hash:810942d5fa],Телекоммуникации,,"р.5 000,00",2024-01-09,,,2024,1,
[counterparty_hash:810942d5fa],Телекоммуникации,,"р.5 000,00",2024-01-24,,,2024,1,
[counterparty_hash:810942d5fa],Телекоммуникации,,"р.5 000,00",2024-02-03,,,2024,2,
[counterparty_hash:e1cb4e2da2],Оплаты систем автоматизации,,"р.12 500,00",2024-01-22,,,2024,1,
[counterparty_hash:e467eaefc4],Оплаты систем автоматизации,,"р.12 000,00",2024-01-16,,,2024,1,
[counterparty_hash:e628158a74],Оплаты систем автоматизации,,"р.7 500,00",2024-01-11,,,2024,1,
[counterparty_hash:a079b1ede6],Овердрафт,,"р.2 000,00",2024-01-05,,,2024,1,
[counterparty_hash:a079b1ede6],Овердрафт,,"р.2 000,00",2024-01-11,,,2024,1,
[counterparty_hash:a079b1ede6],Овердрафт,,"р.2 000,00",2024-01-18,,,2024,1,
[counterparty_hash:a079b1ede6],Овердрафт,,"р.2 000,00",2024-01-25,,,2024,1,
[counterparty_hash:a079b1ede6],Овердрафт,,"р.2 000,00",2024-01-31,,,2024,1,
