dish,category,band,verdict,units_standalone,recent3_units,units_inset,set_phantom,in_sets_units,n_sets,revenue,margin,margin_pct,months_active
Филадельфия тар-тар,роллы,>10/мес,Оставить,66,21,0,429,429,1,20966,13596,64.8,7
Эби том-ям,роллы,>10/мес,Оставить,67,25,0,249,249,2,21178,15188,71.7,7
Дьяволица,пицца,>10/мес,Оставить,68,23,0,0,0,0,38963,26885,69.0,7
Аляска,роллы,>10/мес,Оставить,69,24,0,98,98,1,20605,14226,69.0,7
Бархат,роллы,>10/мес,Оставить,69,21,0,0,0,0,25027,17367,69.4,7
Фурай,роллы,>10/мес,Оставить,71,26,0,0,0,0,22177,15739,71.0,7
От шефа,пицца,>10/мес,Оставить,72,19,0,0,0,0,52638,36041,68.5,7
Том Ям пикант,пицца,>10/мес,Оставить,74,24,0,0,0,0,39868,29614,74.3,7
Классический с крабом,роллы,>10/мес,Оставить,76,30,0,2421,2421,2,11579,8041,69.4,7
Мидии бекон,роллы,>10/мес,Оставить,77,28,0,805,805,6,22488,15610,69.4,7
Грибная,пицца,>10/мес,Оставить,80,21,0,0,0,0,48115,36662,76.2,7
Хоккайдо,роллы,>10/мес,Оставить,83,29,0,4208,4208,5,18807,12467,66.3,7
Эбияма,роллы,>10/мес,Оставить,86,26,0,0,0,0,38698,27526,71.1,7
Классический с чукой,роллы,>10/мес,Оставить,87,29,0,0,0,0,11378,9082,79.8,7
Чикен,роллы,>10/мес,Оставить,89,38,0,2338,2338,3,21718,16731,77.0,7
Шаурма суровая,шаурма,>10/мес,Оставить,93,35,0,0,0,0,32686,22635,69.3,7
Цезарь с креветкой,пицца,>10/мес,Оставить,93,26,0,0,0,0,81847,55191,67.4,7
Ананас киви,роллы,>10/мес,Оставить,94,31,0,0,0,0,32818,22790,69.4,7
Гавайская,пицца,>10/мес,Оставить,95,30,0,0,0,0,60404,40352,66.8,7
Нежный том ям,роллы,>10/мес,Оставить,96,25,0,215,215,2,23581,15989,67.8,7
Атакама,роллы,>10/мес,Оставить,97,31,0,336,336,2,31657,22446,70.9,7
Креветка с угрем,роллы,>10/мес,Оставить,101,33,0,136,136,1,46287,32921,71.1,7
Калифорния с лососем,роллы,>10/мес,Оставить,101,33,0,0,0,0,35909,23380,65.1,7
Нагасаки,роллы,>10/мес,Оставить,103,37,0,662,662,3,23465,17665,75.3,7
Филадельфия темпура,роллы,>10/мес,Оставить,106,40,0,182,182,1,40253,28605,71.1,7
Классический с тунцом,роллы,>10/мес,Оставить,106,33,0,182,182,1,19362,12648,65.3,7
Лава краб,роллы,>10/мес,Оставить,107,34,0,2025,2025,2,30010,23587,78.6,7
Палермо,пицца,>10/мес,Оставить,107,51,0,0,0,0,63597,47141,74.1,7
Сладкий Цыпленок,пицца,>10/мес,Оставить,111,37,0,0,0,0,74501,52003,69.8,7
Хиросима,роллы,>10/мес,Оставить,112,40,0,0,0,0,38121,27102,71.1,7
Шаурма BOX с курицей,шаурма,>10/мес,Оставить,114,28,0,0,0,0,57888,42704,73.8,7
Хаккода,роллы,>10/мес,Оставить,117,39,0,1358,1358,6,31320,23412,74.8,7
Сицилийский,роллы,>10/мес,Оставить,117,48,0,0,0,0,29345,20199,68.8,7
4 мяса,пицца,>10/мес,Оставить,118,45,0,0,0,0,70521,49805,70.6,7
Банан в шоколаде,роллы,>10/мес,Оставить,118,39,0,0,0,0,42600,30724,72.1,7
Шаурма гавайская,шаурма,>10/мес,Оставить,126,39,0,0,0,0,42045,25245,60.0,7
Мидии запеченные под сырным соусом,закуски,>10/мес,Оставить,128,48,0,0,0,0,46297,31950,69.0,7
Карбонара,пицца,>10/мес,Оставить,128,48,0,0,0,0,104677,72639,69.4,7
Сакура,роллы,>10/мес,Оставить,130,51,0,2007,2007,6,32808,25742,78.5,7
Лава с лососем,роллы,>10/мес,Оставить,132,55,0,0,0,0,35074,22354,63.7,7
Классический с лососем,роллы,>10/мес,Оставить,134,42,0,227,227,1,38906,27003,69.4,7
Филадельфия классик,роллы,>10/мес,Оставить,135,52,0,0,0,0,75268,43378,57.6,7
Классическая,пицца,>10/мес,Оставить,137,40,0,0,0,0,78252,53718,68.6,7
Итодори,роллы,>10/мес,Оставить,138,39,0,49,49,1,43182,32194,74.6,7
Краб грув,роллы,>10/мес,Оставить,140,45,0,1277,1277,4,35437,26411,74.5,6
Ветчина-грибы,пицца,>10/мес,Оставить,140,37,0,0,0,0,96977,68255,70.4,7
Соус Чесночный S.U CHEF,соусы,>10/мес,Оставить,140,52,0,0,0,0,4779,3588,75.1,7
Баунти,роллы,>10/мес,Оставить,141,54,0,0,0,0,41771,29707,71.1,7
