dish,top_group,group,me_class,verdict,units_standalone,units_inset_line,set_phantom_units,effective_units,n_sets,sets_structural,sets_behavioral,revenue_standalone,margin_standalone_est,margin_pct,recent3_units,months_active,orders,verdict_reason
Атакама,Роллы,Жареные,Собака,Оставить,97,0,336,433,2,2,0,31657,22446,70.9,41,7,93,нормальная проходимость в рознице
Унагияма,Роллы,Запеченные,Собака,Оставить,59,0,366,425,3,3,0,15944,12251,76.8,37,6,40,нормальная проходимость в рознице
Изуми эсколар,Роллы,Жареные,Собака,Оставить,38,0,365,403,2,2,0,10246,7855,76.7,13,7,38,нормальная проходимость в рознице
Классический с креветкой,Роллы,Классические,Звезда,Оставить,397,0,0,397,0,0,0,64050,41828,65.3,185,7,346,нормальная проходимость в рознице
Классический с лососем,Роллы,Классические,Звезда,Оставить,134,0,227,361,1,1,0,38906,27003,69.4,56,7,111,нормальная проходимость в рознице
Шаурма-шашлык,Шаурма,Шаурма,Звезда,Оставить,358,0,0,358,0,0,0,162108,108997,67.2,180,7,282,нормальная проходимость в рознице
Запеченная Филадельфия,Роллы,Запеченные,Звезда,Оставить,153,0,182,335,1,1,0,53683,33663,62.7,65,7,148,нормальная проходимость в рознице
Луковые кольца,Закуски,Закуски,Звезда,Оставить,329,0,0,329,0,0,0,49599,37823,76.3,185,7,208,нормальная проходимость в рознице
Цыпленок Том Ям,Пицца,Пицца,Звезда,Оставить,318,0,0,318,0,0,0,170080,121837,71.6,129,7,294,нормальная проходимость в рознице
Эби том-ям,Роллы,Запеченные,Собака,Оставить,67,0,249,316,2,2,0,21178,15188,71.7,35,7,67,нормальная проходимость в рознице
Пицца Мясника,Пицца,Пицца,Звезда,Оставить,315,0,0,315,0,0,0,204928,136949,66.8,152,7,304,нормальная проходимость в рознице
Нежный том ям,Роллы,Запеченные,Собака,Оставить,96,0,215,311,2,2,0,23581,15989,67.8,47,7,59,нормальная проходимость в рознице
Сырная,Пицца,Пицца,Звезда,Оставить,307,0,0,307,0,0,0,158477,116189,73.3,180,7,249,нормальная проходимость в рознице
Маргарита,Пицца,Пицца,Звезда,Оставить,299,0,0,299,0,0,0,132005,90393,68.5,167,7,286,нормальная проходимость в рознице
Гринвич,Роллы,Фирменные роллы,Собака,Оставить,50,0,248,298,2,2,0,16514,11055,66.9,25,6,49,нормальная проходимость в рознице
