period,metric_code,metric_name,article_or_source_row,amount,source_file,source_sheet,source_row,data_status,comment
2023-10,fot_total,ФОТ всего,"ФОТ всего, руб.",0,"Копия ОПиУ — Переменные, Общепроизводственные, Косвенные • [ИП Шокина]",Факт,136,available,ФОТ в сводном ОПиУ не заполнен; денежные выплаты персоналу видны в ДДС.
2023-10,fot_production,Производственный ФОТ,"Производственный ФОТ, руб.",,"Копия ОПиУ — Переменные, Общепроизводственные, Косвенные • [ИП Шокина]",Факт,137,not_populated_or_not_found,ФОТ в сводном ОПиУ не заполнен; денежные выплаты персоналу видны в ДДС.
2023-10,fot_overhead,Общепроизводственный ФОТ,"Общепроизводственный ФОТ, руб.",0,"Копия ОПиУ — Переменные, Общепроизводственные, Косвенные • [ИП Шокина]",Факт,138,available,ФОТ в сводном ОПиУ не заполнен; денежные выплаты персоналу видны в ДДС.
2023-10,fot_admin,Административный ФОТ,"Административный ФОТ, руб.",,"Копия ОПиУ — Переменные, Общепроизводственные, Косвенные • [ИП Шокина]",Факт,139,not_populated_or_not_found,ФОТ в сводном ОПиУ не заполнен; денежные выплаты персоналу видны в ДДС.
2023-10,fot_commercial,Коммерческий ФОТ,"Коммерческий ФОТ, руб.",,"Копия ОПиУ — Переменные, Общепроизводственные, Косвенные • [ИП Шокина]",Факт,140,not_populated_or_not_found,ФОТ в сводном ОПиУ не заполнен; денежные выплаты персоналу видны в ДДС.
2023-10,rent_total,Аренда,Аренда торговой точки Гагарина; Аренда торговой точки Черникова; Аренда склада,154000,"Копия ОПиУ — Переменные, Общепроизводственные, Косвенные • [ИП Шокина]",Факт,66+67+78,available,Агрегировано из строк ОПиУ; расходы в ОПиУ положительные.
2023-10,delivery_total,Доставка / курьеры + транспорт,Траты на курьерскую службу; Транспортные услуги,314470,"Копия ОПиУ — Переменные, Общепроизводственные, Косвенные • [ИП Шокина]",Факт,72+74,available,Агрегировано из строк ОПиУ; расходы в ОПиУ положительные.
2023-11,revenue,Выручка,Выручка,3735327.4500000002,"Копия ОПиУ — Переменные, Общепроизводственные, Косвенные • [ИП Шокина]",Факт,4,available,Расходы в листе ОПиУ ведутся как положительные числа; год взят из Факт!A2.
2023-11,revenue_gagarina_ex_discounts,Выручка без учета скидок Гагарина,Выручка без учета скидок Гагарина,2012494,"Копия ОПиУ — Переменные, Общепроизводственные, Косвенные • [ИП Шокина]",Факт,5,available,Расходы в листе ОПиУ ведутся как положительные числа; год взят из Факт!A2.
2023-11,revenue_gagarina_after_discounts,Выручка с учетом скидок Гагарина,Выручка с учетом скидок Гагарина,1917714.1299999999,"Копия ОПиУ — Переменные, Общепроизводственные, Косвенные • [ИП Шокина]",Факт,6,available,Расходы в листе ОПиУ ведутся как положительные числа; год взят из Факт!A2.
2023-11,revenue_chernikova_ex_discounts,Выручка без учета скидок Черникова,Выручка без учета скидок Черникова,1966186,"Копия ОПиУ — Переменные, Общепроизводственные, Косвенные • [ИП Шокина]",Факт,7,available,Расходы в листе ОПиУ ведутся как положительные числа; год взят из Факт!A2.
2023-11,revenue_chernikova_after_discounts,Выручка с учетом скидок Черникова,Выручка с учетом скидок Черникова,1856729.52,"Копия ОПиУ — Переменные, Общепроизводственные, Косвенные • [ИП Шокина]",Факт,8,available,Расходы в листе ОПиУ ведутся как положительные числа; год взят из Факт!A2.
2023-11,variable_expenses,Себестоимость / переменные расходы,Переменные,1434170,"Копия ОПиУ — Переменные, Общепроизводственные, Косвенные • [ИП Шокина]",Факт,14,available,Расходы в листе ОПиУ ведутся как положительные числа; год взят из Факт!A2.
2023-11,food_cost_chernikova,Food cost Черникова,Расход продуктов (фудкост) Черникова,707455.49,"Копия ОПиУ — Переменные, Общепроизводственные, Косвенные • [ИП Шокина]",Факт,15,available,Расходы в листе ОПиУ ведутся как положительные числа; год взят из Факт!A2.
2023-11,food_cost_gagarina,Food cost Гагарина,Расход продуктов (фудкост) Гагарина,726714.51,"Копия ОПиУ — Переменные, Общепроизводственные, Косвенные • [ИП Шокина]",Факт,16,available,Расходы в листе ОПиУ ведутся как положительные числа; год взят из Факт!A2.
2023-11,gross_profit,Валовая прибыль,Валовая прибыль,1576014.1200000001,"Копия ОПиУ — Переменные, Общепроизводственные, Косвенные • [ИП Шокина]",Факт,84,available,Расходы в листе ОПиУ ведутся как положительные числа; год взят из Факт!A2.
2023-11,gross_margin_pct,Рентабельность по валовой прибыли,"Рентабельность по валовой прибыли, %",0.4219212749,"Копия ОПиУ — Переменные, Общепроизводственные, Косвенные • [ИП Шокина]",Факт,85,available,Расходы в листе ОПиУ ведутся как положительные числа; год взят из Факт!A2.
2023-11,overhead_expenses,Общепроизводственные расходы,Общепроизводственные,733510.91,"Копия ОПиУ — Переменные, Общепроизводственные, Косвенные • [ИП Шокина]",Факт,65,available,Расходы в листе ОПиУ ведутся как положительные числа; год взят из Факт!A2.
2023-11,indirect_expenses,Косвенные расходы,Косвенные расходы,544564.75,"Копия ОПиУ — Переменные, Общепроизводственные, Косвенные • [ИП Шокина]",Факт,87,available,Расходы в листе ОПиУ ведутся как положительные числа; год взят из Факт!A2.
2023-11,admin_expenses,Административные расходы,Административные,233522.75,"Копия ОПиУ — Переменные, Общепроизводственные, Косвенные • [ИП Шокина]",Факт,88,available,Расходы в листе ОПиУ ведутся как положительные числа; год взят из Факт!A2.
2023-11,commercial_expenses,Маркетинг / коммерческие расходы,Коммерческие,311042,"Копия ОПиУ — Переменные, Общепроизводственные, Косвенные • [ИП Шокина]",Факт,104,available,Расходы в листе ОПиУ ведутся как положительные числа; год взят из Факт!A2.
2023-11,delivery_couriers,Доставка / курьеры,Траты на курьерскую службу,305230,"Копия ОПиУ — Переменные, Общепроизводственные, Косвенные • [ИП Шокина]",Факт,72,available,Расходы в листе ОПиУ ведутся как положительные числа; год взят из Факт!A2.
