№,Наименование,Инв. № ,Кол-во ОС,Цена ед.,Ответственный,Помещение,Тип ОС,Дата введения ,Месяц введения в эксплуатацию,Дата покупки или постановки,Месяц покупки,Текущая стоимость,Срок полезного использования (лет),Срок полезного использования (месяц),Переоценка ОС,Сумма,дата переоценки,Месяц переоценки,Дата продажи,Месяц продажи,цена продажи,Количество Проданных ОС,1,2,3,4,5,6,7,8,9,10,11,12,Оставшийся срок ПИ,Оставшаяся стоимость,Прибыль/убыток от продажи,1,2,3,4,5,6,7,8,9,10,11,12,Год покупки,Сумма проданного
61,ФР Атол 25Ф,,"1,00","41 125,00 ₽",Технический директор,Ф-л Черникова,Кассовое оборудование,01.01.2025,1,20.08.2020,8,41 125,12,141,,0,,0,,0,,,-292,-292,-292,-292,-292,-292,-292,-292,-292,-292,-292,-292,129,37 625,0,40 833,40 542,40 250,39 958,39 667,39 375,39 083,38 792,38 500,38 208,37 917,37 625,,
62,Денежный ящик Форт,,"1,00","2 458,00 ₽",Технический директор,Ф-л Черникова,Кассовое оборудование,01.01.2025,1,08.05.2023,5,2 458,10,118,,0,,0,,0,,,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,106,2 208,0,2 437,2 416,2 396,2 375,2 354,2 333,2 312,2 291,2 271,2 250,2 229,2 208,,
63,IP телефон Gigaset C530A с базой,,"1,00","10 694,00 ₽",Технический директор,Ф-л Черникова,Оборудование торговых залов,01.01.2025,1,08.05.2023,5,10 694,6,70,,0,,0,,0,,,-153,-153,-153,-153,-153,-153,-153,-153,-153,-153,-153,-153,58,8 861,0,10 541,10 388,10 236,10 083,9 930,9 777,9 625,9 472,9 319,9 166,9 014,8 861,,
64,Внутренняя вывеска,,"1,00","19 524,00 ₽",Технический директор,Ф-л Черникова,Оборудование торговых залов,01.01.2025,1,09.06.2023,6,19 524,7,82,,0,,0,,0,,,-238,-238,-238,-238,-238,-238,-238,-238,-238,-238,-238,-238,70,16 667,0,19 286,19 048,18 810,18 572,18 334,18 095,17 857,17 619,17 381,17 143,16 905,16 667,,
65,Внешняя вывеска,,"1,00","47 979,00 ₽",Технический директор,Ф-л Черникова,Оборудование торговых залов,01.01.2025,1,08.05.2023,5,47 979,8,94,,0,,0,,0,,,-510,-510,-510,-510,-510,-510,-510,-510,-510,-510,-510,-510,82,41 854,0,47 469,46 958,46 448,45 937,45 427,44 917,44 406,43 896,43 385,42 875,42 364,41 854,,
66,Мобильный телефон Redmi,,"1,00","9 583,00 ₽",Технический директор,Ф-л Черникова,Оборудование торговых залов,01.01.2025,1,08.05.2023,5,9 583,4,46,,0,,0,,0,,,-208,-208,-208,-208,-208,-208,-208,-208,-208,-208,-208,-208,34,7 083,0,9 375,9 166,8 958,8 750,8 541,8 333,8 125,7 916,7 708,7 500,7 291,7 083,,
67,Термосумки Бренд,,"7,00","4 583,00 ₽",Технический директор,Ф-л Черникова,Оборудование торговых залов,01.01.2025,1,24.04.2023,4,32 081,2,22,,0,,0,,0,,,-1 458,-1 458,-1 458,-1 458,-1 458,-1 458,-1 458,-1 458,-1 458,-1 458,-1 458,-1 458,10,14 582,0,30 623,29 165,27 706,26 248,24 790,23 332,21 873,20 415,18 957,17 499,16 041,14 582,,
68,Термосумки Черные,,"2,00","959,00 ₽",Технический директор,Ф-л Черникова,Оборудование торговых залов,01.01.2025,1,01.03.2021,3,1 918,6,69,,0,,0,,0,,,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,57,1 584,0,1 890,1 862,1 835,1 807,1 779,1 751,1 723,1 696,1 668,1 640,1 612,1 584,,
69,Саунд бар Hyunday c сабуфером,,"1,00","11 333,00 ₽",Технический директор,Ф-л Черникова,Оборудование торговых залов,01.01.2025,1,08.05.2023,5,11 333,3,34,,0,,0,,0,,,-333,-333,-333,-333,-333,-333,-333,-333,-333,-333,-333,-333,22,7 333,0,11 000,10 666,10 333,10 000,9 666,9 333,9 000,8 666,8 333,8 000,7 666,7 333,,
70,Стойка бара,,"1,00","49 167,00 ₽",Технический директор,Ф-л Черникова,Мебель и предметы интерьера,01.01.2025,1,08.05.2023,5,49 167,10,118,,0,,0,,0,,,-417,-417,-417,-417,-417,-417,-417,-417,-417,-417,-417,-417,106,44 167,0,48 750,48 334,47 917,47 500,47 084,46 667,46 250,45 834,45 417,45 000,44 584,44 167,,
71,Стол для зала,,"1,00","6 825,00 ₽",Технический директор,Ф-л Черникова,Мебель и предметы интерьера,01.01.2025,1,21.12.2020,12,6 825,10,117,,0,,0,,0,,,-58,-58,-58,-58,-58,-58,-58,-58,-58,-58,-58,-58,105,6 125,0,6 767,6 708,6 650,6 592,6 533,6 475,6 417,6 358,6 300,6 242,6 183,6 125,,
72,Стулья барные металические,,"6,00","2 925,00 ₽",Технический директор,Ф-л Черникова,Мебель и предметы интерьера,01.01.2025,1,21.12.2020,12,17 550,10,117,,0,,0,,0,,,-150,-150,-150,-150,-150,-150,-150,-150,-150,-150,-150,-150,105,15 750,0,17 400,17 250,17 100,16 950,16 800,16 650,16 500,16 350,16 200,16 050,15 900,15 750,,
73,Стойка под сумки,,"1,00","6 883,00 ₽",Технический директор,Ф-л Черникова,Мебель и предметы интерьера,01.01.2025,1,08.05.2023,5,6 883,10,118,,0,,0,,0,,,-58,-58,-58,-58,-58,-58,-58,-58,-58,-58,-58,-58,106,6 183,0,6 825,6 766,6 708,6 650,6 591,6 533,6 475,6 416,6 358,6 300,6 241,6 183,,
74,стойка упаковки,,"1,00","11 800,00 ₽",Технический директор,Ф-л Черникова,Мебель и предметы интерьера,01.01.2025,1,08.05.2023,5,11 800,10,118,,0,,0,,0,,,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,106,10 600,0,11 700,11 600,11 500,11 400,11 300,11 200,11 100,11 000,10 900,10 800,10 700,10 600,,
75,Шкаф под термосумки,,"1,00","11 800,00 ₽",Технический директор,Ф-л Черникова,Мебель и предметы интерьера,01.01.2025,1,08.05.2023,5,11 800,10,118,,0,,0,,0,,,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,106,10 600,0,11 700,11 600,11 500,11 400,11 300,11 200,11 100,11 000,10 900,10 800,10 700,10 600,,
76,Шкаф для склада,,"1,00","11 800,00 ₽",Технический директор,Ф-л Черникова,Мебель и предметы интерьера,01.01.2025,1,08.05.2023,5,11 800,10,118,,0,,0,,0,,,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,106,10 600,0,11 700,11 600,11 500,11 400,11 300,11 200,11 100,11 000,10 900,10 800,10 700,10 600,,
77,Мойка 2 секция,,"2,00","9 815,00 ₽",Технический директор,Ф-л Черникова,Вспомогательное оборудование,01.01.2025,1,08.05.2023,5,19 630,9,106,,0,,0,,0,,,-185,-185,-185,-185,-185,-185,-185,-185,-185,-185,-185,-185,94,17 408,0,19 445,19 260,19 074,18 889,18 704,18 519,18 334,18 148,17 963,17 778,17 593,17 408,,
78,Мойка 1 секция,,"1,00","4 907,00 ₽",Технический директор,Ф-л Черникова,Вспомогательное оборудование,01.01.2025,1,08.05.2023,5,4 907,9,106,,0,,0,,0,,,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,94,4 351,0,4 861,4 814,4 768,4 722,4 676,4 629,4 583,4 537,4 490,4 444,4 398,4 351,,
79,Стол разделочный с бортом 120х60 см,,"3,00","13 767,00 ₽",Технический директор,Ф-л Черникова,Вспомогательное оборудование,01.01.2025,1,08.05.2023,5,41 301,10,118,,0,,0,,0,,,-350,-350,-350,-350,-350,-350,-350,-350,-350,-350,-350,-350,106,37 101,0,40 951,40 601,40 251,39 901,39 551,39 201,38 851,38 501,38 151,37 801,37 451,37 101,,
80,Стол разделочный с бортом 150х60 см,,"6,00","17 700,00 ₽",Технический директор,Ф-л Черникова,Вспомогательное оборудование,01.01.2025,1,08.05.2023,5,106 200,10,118,,0,,0,,0,,,-900,-900,-900,-900,-900,-900,-900,-900,-900,-900,-900,-900,106,95 400,0,105 300,104 400,103 500,102 600,101 700,100 800,99 900,99 000,98 100,97 200,96 300,95 400,,
81,Стол разделочный с бортом 180х60 см,,"1,00","29 500,00 ₽",Технический директор,Ф-л Черникова,Вспомогательное оборудование,01.01.2025,1,08.05.2023,5,29 500,10,118,,0,,0,,0,,,-250,-250,-250,-250,-250,-250,-250,-250,-250,-250,-250,-250,106,26 500,0,29 250,29 000,28 750,28 500,28 250,28 000,27 750,27 500,27 250,27 000,26 750,26 500,,
82,Стол разделочный с бортом 100х60 см,,"1,00","7 867,00 ₽",Технический директор,Ф-л Черникова,Вспомогательное оборудование,01.01.2025,1,08.05.2023,5,7 867,10,118,,0,,0,,0,,,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,106,7 067,0,7 800,7 734,7 667,7 600,7 534,7 467,7 400,7 334,7 267,7 200,7 134,7 067,,
83,Стол холодильный Polair TN3GN-G с бортом,,"2,00","77 334,00 ₽",Технический директор,Ф-л Черникова,Холодильное/морозильное оборудование,01.01.2025,1,08.05.2023,5,154 668,5,58,,0,,0,,0,,,-2 667,-2 667,-2 667,-2 667,-2 667,-2 667,-2 667,-2 667,-2 667,-2 667,-2 667,-2 667,46,122 668,0,152 001,149 335,146 668,144 001,141 335,138 668,136 001,133 334,130 668,128 001,125 334,122 668,,
84,Стол холодильный Polair TM2G-G с бортом,,"2,00","65 734,00 ₽",Технический директор,Ф-л Черникова,Холодильное/морозильное оборудование,01.01.2025,1,08.05.2023,5,131 468,5,58,,0,,0,,0,,,-2 267,-2 267,-2 267,-2 267,-2 267,-2 267,-2 267,-2 267,-2 267,-2 267,-2 267,-2 267,46,104 268,0,129 201,126 935,124 668,122 401,120 135,117 868,115 601,113 334,111 068,108 801,106 534,104 268,,
85,Саладетта Polair VT2-G,,"2,00","29 000,00 ₽",Технический директор,Ф-л Черникова,Холодильное/морозильное оборудование,01.01.2025,1,08.05.2023,5,58 000,5,58,,0,,0,,0,,,-1 000,-1 000,-1 000,-1 000,-1 000,-1 000,-1 000,-1 000,-1 000,-1 000,-1 000,-1 000,46,46 000,0,57 000,56 000,55 000,54 000,53 000,52 000,51 000,50 000,49 000,48 000,47 000,46 000,,
86,Саладетта Polair VT3-G,,"2,00","33 834,00 ₽",Технический директор,Ф-л Черникова,Холодильное/морозильное оборудование,01.01.2025,1,08.05.2023,5,67 668,5,58,,0,,0,,0,,,-1 167,-1 167,-1 167,-1 167,-1 167,-1 167,-1 167,-1 167,-1 167,-1 167,-1 167,-1 167,46,53 668,0,66 501,65 335,64 168,63 001,61 835,60 668,59 501,58 334,57 168,56 001,54 834,53 668,,
87,"Шкаф холодильный ШХФ-1,4 POLAIR (возможно CM114-S)",,"1,00","76 667,00 ₽",Технический директор,Ф-л Черникова,Холодильное/морозильное оборудование,01.01.2025,1,08.05.2023,5,76 667,4,46,,0,,0,,0,,,-1 667,-1 667,-1 667,-1 667,-1 667,-1 667,-1 667,-1 667,-1 667,-1 667,-1 667,-1 667,34,56 667,0,75 000,73 334,71 667,70 000,68 334,66 667,65 000,63 334,61 667,60 000,58 334,56 667,,
88,Холодильник Polair CM 105-S,,"1,00","43 750,00 ₽",Технический директор,Ф-л Черникова,Холодильное/морозильное оборудование,01.01.2025,1,08.05.2023,5,43 750,6,70,,0,,0,,0,,,-625,-625,-625,-625,-625,-625,-625,-625,-625,-625,-625,-625,58,36 250,0,43 125,42 500,41 875,41 250,40 625,40 000,39 375,38 750,38 125,37 500,36 875,36 250,,
89,Холодильник Polair CM 107-S,,"1,00","61 250,00 ₽",Технический директор,Ф-л Черникова,Холодильное/морозильное оборудование,01.01.2025,1,08.05.2023,5,61 250,6,70,,0,,0,,0,,,-875,-875,-875,-875,-875,-875,-875,-875,-875,-875,-875,-875,58,50 750,0,60 375,59 500,58 625,57 750,56 875,56 000,55 125,54 250,53 375,52 500,51 625,50 750,,
90,Стол для пиццы Cooleq PZ2610TN-VRX380,,"1,00","195 833,00 ₽",Технический директор,Ф-л Черникова,Холодильное/морозильное оборудование,01.01.2025,1,08.05.2023,5,195 833,8,94,,0,,0,,0,,,-2 083,-2 083,-2 083,-2 083,-2 083,-2 083,-2 083,-2 083,-2 083,-2 083,-2 083,-2 083,82,170 833,0,193 750,191 666,189 583,187 500,185 416,183 333,181 250,179 166,177 083,175 000,172 916,170 833,,
91,Гриль саламандра AIRHOT SGE-938,,"1,00","11 600,00 ₽",Технический директор,Ф-л Черникова,Тепловое оборудование,01.01.2025,1,08.05.2023,5,11 600,5,58,,0,,0,,0,,,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,46,9 200,0,11 400,11 200,11 000,10 800,10 600,10 400,10 200,10 000,9 800,9 600,9 400,9 200,,
92,Чебуречница VALEX HEF-83B,,"1,00","10 542,00 ₽",Технический директор,Ф-л Черникова,Тепловое оборудование,01.01.2025,1,08.05.2023,5,10 542,4,46,,0,,0,,0,,,-229,-229,-229,-229,-229,-229,-229,-229,-229,-229,-229,-229,34,7 792,0,10 313,10 084,9 854,9 625,9 396,9 167,8 938,8 709,8 479,8 250,8 021,7 792,,
93,Фритюрница Airhot EEF6,,"1,00","3 833,00 ₽",Технический директор,Ф-л Черникова,Тепловое оборудование,01.01.2025,1,08.05.2023,5,3 833,4,46,,0,,0,,0,,,-83,-83,-83,-83,-83,-83,-83,-83,-83,-83,-83,-83,34,2 833,0,3 750,3 666,3 583,3 500,3 416,3 333,3 250,3 166,3 083,3 000,2 916,2 833,,
94,Поверхность жарочная Airhot GE-730/FG,,"1,00","8 679,00 ₽",Технический директор,ТЗ Гагарина,Тепловое оборудование,01.01.2025,1,21.12.2020,12,8 679,7,81,,0,,0,,0,,,-107,-107,-107,-107,-107,-107,-107,-107,-107,-107,-107,-107,69,7 393,0,8 572,8 465,8 358,8 250,8 143,8 036,7 929,7 822,7 715,7 608,7 500,7 393,,
95,Тестомес спиральный Gastromix HS20B,,"1,00","58 000,00 ₽",Технический директор,Ф-л Черникова,Вспомогательное оборудование,01.01.2025,1,08.05.2023,5,58 000,5,58,,0,,0,,0,,,-1 000,-1 000,-1 000,-1 000,-1 000,-1 000,-1 000,-1 000,-1 000,-1 000,-1 000,-1 000,46,46 000,0,57 000,56 000,55 000,54 000,53 000,52 000,51 000,50 000,49 000,48 000,47 000,46 000,,
96,Спиральный тестомес Gastromix HS30B,,"1,00","72 500,00 ₽",Технический директор,Ф-л Черникова,Тепловое оборудование,01.01.2025,1,08.05.2023,5,72 500,5,58,,0,,0,,0,,,-1 250,-1 250,-1 250,-1 250,-1 250,-1 250,-1 250,-1 250,-1 250,-1 250,-1 250,-1 250,46,57 500,0,71 250,70 000,68 750,67 500,66 250,65 000,63 750,62 500,61 250,60 000,58 750,57 500,,
97,Микроволновая печь DEXP MS-70,,"1,00","4 722,00 ₽",Технический директор,Ф-л Черникова,Тепловое оборудование,01.01.2025,1,08.05.2023,5,4 722,3,34,,0,,0,,0,,,-139,-139,-139,-139,-139,-139,-139,-139,-139,-139,-139,-139,22,3 055,0,4 583,4 444,4 305,4 166,4 028,3 889,3 750,3 611,3 472,3 333,3 194,3 055,,
98,Ларь морозильный Aucma BD-560,,"3,00","58 571,00 ₽",Технический директор,Ф-л Черникова,Холодильное/морозильное оборудование,01.01.2025,1,08.05.2023,5,175 713,7,82,,0,,0,,0,,,-2 143,-2 143,-2 143,-2 143,-2 143,-2 143,-2 143,-2 143,-2 143,-2 143,-2 143,-2 143,70,149 999,0,173 570,171 427,169 284,167 142,164 999,162 856,160 713,158 570,156 427,154 285,152 142,149 999,,
99,Печь для пиццы ITPIZZA MS44,,"1,00","98 148,00 ₽",Технический директор,Ф-л Черникова,Тепловое оборудование,01.01.2025,1,08.05.2023,5,98 148,9,106,,0,,0,,0,,,-926,-926,-926,-926,-926,-926,-926,-926,-926,-926,-926,-926,94,87 037,0,97 222,96 296,95 370,94 444,93 518,92 592,91 667,90 741,89 815,88 889,87 963,87 037,,
100,Пицце печь IT Pizza ML66,,"0,00","0,00 ₽",Технический директор,Ф-л Черникова,Тепловое оборудование,01.01.2025,1,08.05.2023,5,0,12,0,,0,,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
101,Термос для риса Hurakan HKN-RT210,,"2,00","11 667,00 ₽",Технический директор,Ф-л Черникова,Тепловое оборудование,01.01.2025,1,08.05.2023,5,23 334,6,70,,0,,0,,0,,,-333,-333,-333,-333,-333,-333,-333,-333,-333,-333,-333,-333,58,19 334,0,23 001,22 667,22 334,22 001,21 667,21 334,21 001,20 667,20 334,20 001,19 667,19 334,,
102,Рисоварка Индакор IR-1954,,"1,00","8 250,00 ₽",Технический директор,Ф-л Черникова,Тепловое оборудование,01.01.2025,1,08.05.2023,5,8 250,2,22,,0,,0,,0,,,-375,-375,-375,-375,-375,-375,-375,-375,-375,-375,-375,-375,10,3 750,0,7 875,7 500,7 125,6 750,6 375,6 000,5 625,5 250,4 875,4 500,4 125,3 750,,
103,Рисоварка Airhot RC-5,,"1,00","6 417,00 ₽",Технический директор,Ф-л Черникова,Тепловое оборудование,01.01.2025,1,08.05.2023,5,6 417,2,22,,0,,0,,0,,,-292,-292,-292,-292,-292,-292,-292,-292,-292,-292,-292,-292,10,2 917,0,6 125,5 834,5 542,5 250,4 959,4 667,4 375,4 084,3 792,3 500,3 209,2 917,,
104,Плита индукционная Airhot IP3500,,"2,00","7 667,00 ₽",Технический директор,Ф-л Черникова,Тепловое оборудование,01.01.2025,1,08.05.2023,5,15 334,4,46,,0,,0,,0,,,-333,-333,-333,-333,-333,-333,-333,-333,-333,-333,-333,-333,34,11 334,0,15 001,14 667,14 334,14 001,13 667,13 334,13 001,12 667,12 334,12 001,11 667,11 334,,
105,Поверхность жарочная Airhot GE-730/FG,,"1,00","0,00 ₽",Технический директор,Ф-л Черникова,Тепловое оборудование,01.01.2025,1,10.03.2020,3,0,3,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Гриль прижимной Airhot CGL,,"1,00","9 722,00 ₽",Технический директор,Ф-л Черникова,Тепловое оборудование,01.01.2025,1,08.05.2023,5,9 722,6,70,,0,,0,,0,,,-139,-139,-139,-139,-139,-139,-139,-139,-139,-139,-139,-139,58,8 055,0,9 583,9 444,9 305,9 166,9 028,8 889,8 750,8 611,8 472,8 333,8 194,8 055,,
107,Весы торговые ФорТ-Т 870 (32.5) LCD,,"1,00","1 375,00 ₽",Технический директор,Ф-л Черникова,Вспомогательное оборудование,01.01.2025,1,08.05.2023,5,1 375,2,22,,0,,0,,0,,,-63,-63,-63,-63,-63,-63,-63,-63,-63,-63,-63,-63,10,625,0,1 313,1 250,1 188,1 125,1 063,1 000,938,875,813,750,688,625,,
108,Весы фиеста,,"1,00","1 375,00 ₽",Технический директор,Ф-л Черникова,Вспомогательное оборудование,01.01.2025,1,08.05.2023,5,1 375,2,22,,0,,0,,0,,,-63,-63,-63,-63,-63,-63,-63,-63,-63,-63,-63,-63,10,625,0,1 313,1 250,1 188,1 125,1 063,1 000,938,875,813,750,688,625,,
109,Весы Кас,,"1,00","1 375,00 ₽",Технический директор,Ф-л Черникова,Вспомогательное оборудование,01.01.2025,1,08.05.2023,5,1 375,2,22,,0,,0,,0,,,-63,-63,-63,-63,-63,-63,-63,-63,-63,-63,-63,-63,10,625,0,1 313,1 250,1 188,1 125,1 063,1 000,938,875,813,750,688,625,,
110,Принтер для чеков Atol RP-326-USE,,"2,00","4 917,00 ₽",Технический директор,Ф-л Черникова,Кассовое оборудование,01.01.2025,1,08.05.2023,5,9 834,10,118,,0,,0,,0,,,-83,-83,-83,-83,-83,-83,-83,-83,-83,-83,-83,-83,106,8 834,0,9 751,9 667,9 584,9 501,9 417,9 334,9 251,9 167,9 084,9 001,8 917,8 834,,
111,Овощерезка Robot-Coupe CL20,,"1,00","88 125,00 ₽",Технический директор,Ф-л Черникова,Электромеханическое оборудование,01.01.2025,1,08.05.2023,5,88 125,8,94,,0,,0,,0,,,-938,-938,-938,-938,-938,-938,-938,-938,-938,-938,-938,-938,82,76 875,0,87 188,86 250,85 313,84 375,83 438,82 500,81 563,80 625,79 688,78 750,77 813,76 875,,
112,Мясорубка Moulin Villa MV-MG-002.,,"1,00","2 417,00 ₽",Технический директор,Ф-л Черникова,Электромеханическое оборудование,01.01.2025,1,08.05.2023,5,2 417,5,58,,0,,0,,0,,,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,46,1 917,0,2 375,2 334,2 292,2 250,2 209,2 167,2 125,2 084,2 042,2 000,1 959,1 917,,
113,Миксер ручной Vortmax MINIPM 250 V.V. 250W,,"1,00","23 611,00 ₽",Технический директор,Ф-л Черникова,Электромеханическое оборудование,01.01.2025,1,08.05.2023,5,23 611,3,34,,0,,0,,0,,,-694,-694,-694,-694,-694,-694,-694,-694,-694,-694,-694,-694,22,15 278,0,22 917,22 222,21 528,20 833,20 139,19 444,18 750,18 055,17 361,16 667,15 972,15 278,,
114,Погружной блендер Polaris PHB 1380 Silent,,"1,00","1 250,00 ₽",Технический директор,Ф-л Черникова,Электромеханическое оборудование,01.01.2025,1,08.05.2023,5,1 250,1,10,,0,,0,,0,,,-125,-125,-125,-125,-125,-125,-125,-125,-125,-125,0,0,0,0,0,1 125,1 000,875,750,625,500,375,250,125,0,0,0,,
115,Подставка под термос для риса 500x500x600,,"2,00","9 834,00 ₽",Технический директор,Ф-л Черникова,Вспомогательное оборудование,01.01.2025,1,08.05.2023,5,19 668,10,118,,0,,0,,0,,,-167,-167,-167,-167,-167,-167,-167,-167,-167,-167,-167,-167,106,17 668,0,19 501,19 335,19 168,19 001,18 835,18 668,18 501,18 335,18 168,18 001,17 835,17 668,,
116,Подставка под пицце печь,,"2,00","1 967,00 ₽",Технический директор,Ф-л Черникова,Вспомогательное оборудование,01.01.2025,1,08.05.2023,5,3 934,10,118,,0,,0,,0,,,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,106,3 534,0,3 901,3 867,3 834,3 801,3 767,3 734,3 701,3 667,3 634,3 601,3 567,3 534,,
117,Стелаж 130x30x180,,"1,00","7 867,00 ₽",Технический директор,Ф-л Черникова,Вспомогательное оборудование,01.01.2025,1,08.05.2023,5,7 867,10,118,,0,,0,,0,,,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,106,7 067,0,7 800,7 734,7 667,7 600,7 534,7 467,7 400,7 334,7 267,7 200,7 134,7 067,,
118,Стелаж 170х180х40,,"2,00","7 867,00 ₽",Технический директор,Ф-л Черникова,Вспомогательное оборудование,01.01.2025,1,08.05.2023,5,15 734,10,118,,0,,0,,0,,,-133,-133,-133,-133,-133,-133,-133,-133,-133,-133,-133,-133,106,14 134,0,15 601,15 467,15 334,15 201,15 067,14 934,14 801,14 667,14 534,14 401,14 267,14 134,,
119,Вентиляционный зонт конусный,,"1,00","9 833,00 ₽",Технический директор,Ф-л Черникова,Вспомогательное оборудование,01.01.2025,1,08.05.2023,5,9 833,10,118,,0,,0,,0,,,-83,-83,-83,-83,-83,-83,-83,-83,-83,-83,-83,-83,106,8 833,0,9 750,9 666,9 583,9 500,9 416,9 333,9 250,9 166,9 083,9 000,8 916,8 833,,
120,Вентиляционный зонт пристенный ВЗП12-7(1200х700х450),,"2,00","14 750,00 ₽",Технический директор,Ф-л Черникова,Вспомогательное оборудование,01.01.2025,1,08.05.2023,5,29 500,10,118,,0,,0,,0,,,-250,-250,-250,-250,-250,-250,-250,-250,-250,-250,-250,-250,106,26 500,0,29 250,29 000,28 750,28 500,28 250,28 000,27 750,27 500,27 250,27 000,26 750,26 500,,
121,Слайсер Airhot SL-220,,"1,00","14 250,00 ₽",Технический директор,Ф-л Черникова,Электромеханическое оборудование,01.01.2025,1,12.10.2020,10,14 250,5,57,,0,,0,,0,,,-250,-250,-250,-250,-250,-250,-250,-250,-250,-250,-250,-250,45,11 250,0,14 000,13 750,13 500,13 250,13 000,12 750,12 500,12 250,12 000,11 750,11 500,11 250,,
122,Полка невесная,,"2,00","2 459,00 ₽",Технический директор,Ф-л Черникова,Вспомогательное оборудование,01.01.2025,1,08.05.2023,5,4 918,10,118,,0,,0,,0,,,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,106,4 418,0,4 876,4 835,4 793,4 751,4 710,4 668,4 626,4 585,4 543,4 501,4 460,4 418,,
123,Компьютерное кресло Офисное,,"1,00","1 889,00 ₽",Технический директор,Ф-л Черникова,Мебель и предметы интерьера,01.01.2025,1,08.05.2023,5,1 889,3,34,,0,,0,,0,,,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,22,1 222,0,1 833,1 778,1 722,1 667,1 611,1 556,1 500,1 445,1 389,1 333,1 278,1 222,,
124,Компьютерное кресло Офисное (Кожа),,"1,00","2 361,00 ₽",Технический директор,Ф-л Черникова,Мебель и предметы интерьера,01.01.2025,1,08.05.2023,5,2 361,3,34,,0,,0,,0,,,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,22,1 528,0,2 292,2 222,2 153,2 083,2 014,1 944,1 875,1 805,1 736,1 667,1 597,1 528,,
125,Офисный стул,,"2,00","967,00 ₽",Технический директор,Ф-л Черникова,Мебель и предметы интерьера,01.01.2025,1,08.05.2023,5,1 934,5,58,,0,,0,,0,,,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,46,1 534,0,1 901,1 867,1 834,1 801,1 767,1 734,1 701,1 667,1 634,1 601,1 567,1 534,,
126,Стол офисный 1.8 м,,"1,00","6 883,00 ₽",Технический директор,Ф-л Черникова,Мебель и предметы интерьера,01.01.2025,1,08.05.2023,5,6 883,10,118,,0,,0,,0,,,-58,-58,-58,-58,-58,-58,-58,-58,-58,-58,-58,-58,106,6 183,0,6 825,6 766,6 708,6 650,6 591,6 533,6 475,6 416,6 358,6 300,6 241,6 183,,
127,Стол офисный 1.4 м,,"1,00","4 917,00 ₽",Технический директор,Ф-л Черникова,Мебель и предметы интерьера,01.01.2025,1,08.05.2023,5,4 917,10,118,,0,,0,,0,,,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,106,4 417,0,4 875,4 834,4 792,4 750,4 709,4 667,4 625,4 584,4 542,4 500,4 459,4 417,,
128,Принтер HP Laser MFP 135r,,"1,00","12 458,00 ₽",Технический директор,Ф-л Черникова,Электроника и оргтехника,01.01.2025,1,13.12.2021,12,12 458,6,69,,0,,0,,0,,,-181,-181,-181,-181,-181,-181,-181,-181,-181,-181,-181,-181,57,10 291,0,12 277,12 097,11 916,11 736,11 555,11 375,11 194,11 014,10 833,10 652,10 472,10 291,,
129,Шкаф для документов,,"1,00","9 833,00 ₽",Технический директор,Ф-л Черникова,Мебель и предметы интерьера,01.01.2025,1,08.05.2023,5,9 833,10,118,,0,,0,,0,,,-83,-83,-83,-83,-83,-83,-83,-83,-83,-83,-83,-83,106,8 833,0,9 750,9 666,9 583,9 500,9 416,9 333,9 250,9 166,9 083,9 000,8 916,8 833,,
130,Ноутбук HP,,"1,00","4 375,00 ₽",Технический директор,Ф-л Черникова,Электроника и оргтехника,01.01.2025,1,09.04.2019,4,4 375,2,21,,0,,0,,0,,,-208,-208,-208,-208,-208,-208,-208,-208,-208,-208,-208,-208,9,1 875,0,4 167,3 958,3 750,3 542,3 333,3 125,2 917,2 708,2 500,2 292,2 083,1 875,,
