№,Наименование,Инв. № ,Кол-во ОС,Цена ед.,Ответственный,Помещение,Тип ОС,Дата введения ,Месяц введения в эксплуатацию,Дата покупки или постановки,Месяц покупки,Текущая стоимость,Срок полезного использования (лет),Срок полезного использования (месяц),Переоценка ОС,Сумма,дата переоценки,Месяц переоценки,Дата продажи,Месяц продажи,цена продажи,Количество Проданных ОС,1,2,3,4,5,6,7,8,9,10,11,12,Оставшийся срок ПИ,Оставшаяся стоимость,Прибыль/убыток от продажи,1,2,3,4,5,6,7,8,9,10,11,12,Год покупки,Сумма проданного
16,весы форт-т 769,,"1,00",1 125,Технический директор,ТЗ Гагарина,Вспомогательное оборудование,01.01.2025,1,01.02.2021,2,1 125,1,9,,0,,0,,0,,,-125,-125,-125,-125,-125,-125,-125,-125,-125,0,0,0,0,0,0,1 000,875,750,625,500,375,250,125,0,0,0,0,,
17,Контактный гриль Airhot CGL (хорошоее состояние),,"1,00",9 500,Технический директор,ТЗ Гагарина,Тепловое оборудование,01.01.2025,1,21.12.2020,12,9 500,5,57,,0,,0,,0,,,-167,-167,-167,-167,-167,-167,-167,-167,-167,-167,-167,-167,45,7 500,0,9 333,9 167,9 000,8 833,8 667,8 500,8 333,8 167,8 000,7 833,7 667,7 500,,
18,Контактный гриль Airhot CGL (плохое состояние),,"2,00",4 375,Технический директор,Склад Гагарина,Тепловое оборудование,01.01.2025,1,10.03.2020,3,8 750,2,21,,0,,0,,0,,,-417,-417,-417,-417,-417,-417,-417,-417,-417,-417,-417,-417,9,3 750,0,8 333,7 917,7 500,7 083,6 667,6 250,5 833,5 417,5 000,4 583,4 167,3 750,,
19,Стол разделочный с бортом 100х60 см,,"2,00",7 800,Технический директор,ТЗ Гагарина,Вспомогательное оборудование,01.01.2025,1,10.03.2020,3,15 600,10,117,,0,,0,,0,,,-133,-133,-133,-133,-133,-133,-133,-133,-133,-133,-133,-133,105,14 000,0,15 467,15 333,15 200,15 067,14 933,14 800,14 667,14 533,14 400,14 267,14 133,14 000,,
20,Стол холодильный для пиццы Hicold PZ2-1122GN,,"1,00",105 417,Технический директор,ТЗ Гагарина,Холодильное/морозильное оборудование,01.01.2025,1,21.12.2020,12,105 417,6,69,,0,,0,,0,,,-1 528,-1 528,-1 528,-1 528,-1 528,-1 528,-1 528,-1 528,-1 528,-1 528,-1 528,-1 528,57,87 084,0,103 889,102 361,100 834,99 306,97 778,96 250,94 723,93 195,91 667,90 139,88 611,87 084,,
21,Стол разделочный с бортом 150х60 см,,"1,00",17 550,Технический директор,ТЗ Гагарина,Вспомогательное оборудование,01.01.2025,1,10.03.2020,3,17 550,10,117,,0,,0,,0,,,-150,-150,-150,-150,-150,-150,-150,-150,-150,-150,-150,-150,105,15 750,0,17 400,17 250,17 100,16 950,16 800,16 650,16 500,16 350,16 200,16 050,15 900,15 750,,
22,Пицца печь IT PIZZA ML44,,"1,00",95 000,Технический директор,ТЗ Гагарина,Тепловое оборудование,01.01.2025,1,10.03.2020,3,95 000,5,57,,0,,0,,0,,,-1 667,-1 667,-1 667,-1 667,-1 667,-1 667,-1 667,-1 667,-1 667,-1 667,-1 667,-1 667,45,75 000,0,93 333,91 667,90 000,88 333,86 667,85 000,83 333,81 667,80 000,78 333,76 667,75 000,,
23,Стол для салатов HICOLD SLE2-11GN,,"2,00",47 500,Технический директор,ТЗ Гагарина,Холодильное/морозильное оборудование,01.01.2025,1,21.12.2020,12,95 000,5,57,,0,,0,,0,,,-1 667,-1 667,-1 667,-1 667,-1 667,-1 667,-1 667,-1 667,-1 667,-1 667,-1 667,-1 667,45,75 000,0,93 333,91 667,90 000,88 333,86 667,85 000,83 333,81 667,80 000,78 333,76 667,75 000,,
24,Стол для салатов HICOLD SLE2-111SN,,"1,00",61 750,Технический директор,ТЗ Гагарина,Холодильное/морозильное оборудование,01.01.2025,1,20.08.2020,8,61 750,5,57,,0,,0,,0,,,-1 083,-1 083,-1 083,-1 083,-1 083,-1 083,-1 083,-1 083,-1 083,-1 083,-1 083,-1 083,45,48 750,0,60 667,59 583,58 500,57 417,56 333,55 250,54 167,53 083,52 000,50 917,49 833,48 750,,
25,Мангал профессиональный,,"1,00",39 231,Технический директор,Склад (гараж),Тепловое оборудование,01.01.2025,1,21.12.2020,12,39 231,13,153,,0,,0,,0,,,-256,-256,-256,-256,-256,-256,-256,-256,-256,-256,-256,-256,141,36 154,0,38 975,38 718,38 462,38 205,37 949,37 693,37 436,37 180,36 923,36 667,36 410,36 154,,
