2024,1,2,3,4,5,6,7,8,9,10,11,12
Блендер Bosh погружной,0,0,0,0,0,0,0,0,0,0,0,0
Тестомес спиральный Hurakan HKN-30SN2V,0,0,0,0,0,0,0,0,0,0,0,0
Слайсер Airhot SL-220,0,0,0,0,0,0,0,0,0,0,0,0
Фритюрница Airhot EF10+10,0,0,0,0,0,0,0,0,0,0,0,0
Рисоварка Харукан IR1944 5.6 л,0,0,0,0,0,0,0,0,0,0,0,0
рисоварка Россо ERC-10L,0,0,0,0,0,0,0,0,0,0,0,0
Термос для риса Indokor IR-1120,0,0,0,0,0,0,0,0,0,0,0,0
весы MER 326afulcd,0,0,0,0,0,0,0,0,0,0,0,0
весы форт-т 769,0,0,0,0,0,0,0,0,0,0,0,0
Контактный гриль Airhot CGL (хорошоее состояние),0,0,0,0,0,0,0,0,0,0,0,0
Контактный гриль Airhot CGL (плохое состояние),,,,,,,,,,,,
Стол разделочный с бортом 100х60 см,,,,,,,,,,,,
Стол холодильный для пиццы Hicold PZ2-1122GN,,,,,,,,,,,,
Стол разделочный с бортом 150х60 см,,,,,,,,,,,,
Пицца печь IT PIZZA ML44,,,,,,,,,,,,
Стол для салатов HICOLD SLE2-11GN,,,,,,,,,,,,
Стол для салатов HICOLD SLE2-111SN,,,,,,,,,,,,
Мангал профессиональный,,,,,,,,,,,,
Стол разделочный с бортом 120х60 см,,,,,,,,,,,,
Стелаж 260х79х49,,,,,,,,,,,,
Вытяжной зонт 123х50,,,,,,,,,,,,
Вытяжной зонт 150х60,,,,,,,,,,,,
Вентилятор радиальный BP8075 с асинхронным двигатилем 1Ф IP 55,,,,,,,,,,,,
Мойка 2 секция,,,,,,,,,,,,
Овощерезка Airhot VC- 300,,,,,,,,,,,,
Морозильная ларь Бирюса 200VK,,,,,,,,,,,,
Морозильный ларь Pozis FH-250-1,,,,,,,,,,,,
Морозильная ларь Frostor F500S 135х78х62,,,,,,,,,,,,
Стелаж 220х106х60,,,,,,,,,,,,
Зонт вытяжной CK00 Новый,,,,,,,,,,,,
Сплит система Берлингтон BR-18CST1/IN,,,,,,,,,,,,
Кастрюля 10л,,,,,,,,,,,,
Плита индукционная Airhot IP3500 (Лениградская),,,,,,,,,,,,
Плита индукционная Airhot IP3500 (Гагарина),,,,,,,,,,,,
Холодильный шкаф Polair CN105S (Не работает),,,,,,,,,,,,
ПОС терминал Атол Оптима,,,,,,,,,,,,
IP телефон Gigaset C530A с базой,,,,,,,,,,,,
Телефон Samsung Galaxy A7,,,,,,,,,,,,
ФН 36 мес,,,,,,,,,,,,
ФР Атол 25Ф,,,,,,,,,,,,
Денежный ящик Форт,,,,,,,,,,,,
Принтер для чеков Atol RP-326-USE,,,,,,,,,,,,
Портативная колонка SVEN PS-250BL,,,,,,,,,,,,
Стол для зала ,,,,,,,,,,,,
Барная стойка с пристройкой,,,,,,,,,,,,
Стойка для сумок,,,,,,,,,,,,
Стулья барные металические ,,,,,,,,,,,,
Рисоварка Индакор IR-1954,,,,,,,,,,,,
Кондиционер Balu BSW/in-12HN1_23Y,,,,,,,,,,,,
ПОС терминал SAM4S SPT-S260,,,,,,,,,,,,
Внутренняя вывеска,,,,,,,,,,,,
Внешняя вывеска,,,,,,,,,,,,
Мобильный телефон Redmi,,,,,,,,,,,,
Термосумки Бренд,,,,,,,,,,,,
Термосумки Черные,,,,,,,,,,,,
Саунд бар Hyunday c сабуфером,,,,,,,,,,,,
Стойка бара,,,,,,,,,,,,
Стол для зала,,,,,,,,,,,,
Стулья барные металические,,,,,,,,,,,,
Стойка под сумки,,,,,,,,,,,,
стойка упаковки,,,,,,,,,,,,
Шкаф под термосумки,,,,,,,,,,,,
Шкаф для склада,,,,,,,,,,,,
Мойка 1 секция,,,,,,,,,,,,
Стол разделочный с бортом 180х60 см,,,,,,,,,,,,
Стол холодильный Polair TN3GN-G с бортом,,,,,,,,,,,,
Стол холодильный Polair TM2G-G с бортом,,,,,,,,,,,,
Саладетта Polair VT2-G,,,,,,,,,,,,
Саладетта Polair VT3-G,,,,,,,,,,,,
"Шкаф холодильный ШХФ-1,4 POLAIR (возможно CM114-S)",,,,,,,,,,,,
Холодильник Polair CM 105-S,,,,,,,,,,,,
Стол для пиццы Cooleq PZ2610TN-VRX380,,,,,,,,,,,,
Чебуречница VALEX HEF-83B,,,,,,,,,,,,
Фритюрница Airhot EEF6,,,,,,,,,,,,
Поверхность жарочная Airhot GE-730/FG,,,,,,,,,,,,
Тестомес спиральный Gastromix HS20B,,,,,,,,,,,,
