Расстановка коэффициентов согласно сменам,,,,,,,,,Расчет коэффициента согласно отработанным часам,,,,,,,
employee_b3338b123c,"7,5","7,5","7,5","0,0","0,0","0,0","0,0",,employee_b3338b123c,"0,0","7,5","7,5","0,0","0,0","0,0","0,0"
employee_908545f9b4,"10,0","10,0","10,0","0,0","0,0","0,0","0,0",,employee_908545f9b4,"10,0","10,0","10,0","0,0","0,0","0,0","0,0"
employee_8b0eb48cc4,"0,0","5,0","5,0","0,0","0,0","0,0","0,0",,employee_8b0eb48cc4,"0,0","0,0","5,0","0,0","0,0","0,0","0,0"
employee_2dcfa0649d,"0,0","0,0","0,0","0,0","0,0","0,0","0,0",,employee_2dcfa0649d,"0,0","0,0","0,0","0,0","0,0","0,0","0,0"
employee_62c77ec038,"0,0","10,0","0,0","0,0","0,0","0,0","0,0",,employee_3c4a629691,"0,0","0,0","0,0","0,0","0,0","0,0","0,0"
employee_3c4a629691,"10,0","0,0","0,0","0,0","0,0","0,0","0,0",,employee_44aa735d3b,"0,0","0,0","0,0","0,0","0,0","0,0","0,0"
employee_a321587054,"0,0","0,0","0,0","0,0","0,0","0,0","0,0",,employee_f420556a57,"0,0","4,6","5,0","0,0","0,0","0,0","0,0"
employee_dfa826d51c,"0,0","0,0","0,0","0,0","0,0","0,0","0,0",,employee_a285bf7cad,"0,0","0,0","0,0","0,0","0,0","0,0","0,0"
employee_f420556a57,"0,0","5,0","5,0","0,0","0,0","0,0","0,0",,employee_9b36065fce,"0,0","0,0","0,0","0,0","0,0","0,0","0,0"
employee_a285bf7cad,"0,0","0,0","0,0","0,0","0,0","0,0","0,0",,employee_15b9fd024a,"7,5","0,0","7,5","0,0","0,0","0,0","0,0"
employee_9b36065fce,"5,0","0,0","0,0","0,0","0,0","0,0","0,0",,employee_f2a23819d8,"1,5","0,0","0,0","0,0","0,0","0,0","0,0"
employee_15b9fd024a,"7,5","7,5","7,5","0,0","0,0","0,0","0,0",,employee_eff4f87fa3,"0,0","2,5","2,5","0,0","0,0","0,0","0,0"
employee_f2a23819d8,"2,5","0,0","0,0","0,0","0,0","0,0","0,0",,employee_b0e5843216,"0,0","0,0","0,0","0,0","0,0","0,0","0,0"
employee_44aa735d3b,"0,0","0,0","0,0","0,0","0,0","0,0","0,0",,employee_7ae55ec1c8,"0,0","0,0","0,0","0,0","0,0","0,0","0,0"
employee_eff4f87fa3,"2,5","2,5","2,5","0,0","0,0","0,0","0,0",,,,,,,,,
employee_b0e5843216,"0,0","0,0","0,0","0,0","0,0","0,0","0,0",,,,,,,,,
employee_7ae55ec1c8,"0,0","0,0","0,0","0,0","0,0","0,0","0,0",,,,,,,,,
employee_921c390b7f,"0,0","0,0","0,0","0,0","0,0","0,0","0,0",,,,,,,,,
