 Регистрация категорий,,,,,Особоые условия по депозитам (Для внештатников проставь НУЛИ),,,,Выдача депозитов,,,,Регистрация вступления в должность старших поваров,,,,Регистрация штрафов и премий,,,,
Дата постановки на категорию,Имя сотрудника,Должность,Категория,,Имя сотрудника,Требуемый депозит (указать при особых условиях),Сумма удержания (указать при особых условиях),,Имя сотрудника,Депозит при уволнении,Коэффициент выдачи ,,Дата вступления в должность,Имя сотрудника,Надбавка,,Дата,Имя сотрудника,Сумма,Вид начисления/списания,[redacted_comment]
27.08.2024,employee_9747b9d844,Пиццерист,2,,,,,,,,,,03.12.2025,employee_c82e1942fd,Зам,,17.05.2025,employee_1af5d335a2,113,Штрафы и удержания,[redacted_comment]
04.09.2024,employee_3a96201e66,Сушист,1,,,,,,,,,,15.01.2026,employee_c82e1942fd,Снят с должности,,20.05.2025,employee_7448260c20,800,Премия,[redacted_comment]
04.09.2024,employee_3fa5f3a2b5,Сушист,2,,,,,,,,,,21.01.2026,employee_64c46f16b7,Зам,,19.05.2025,employee_b3338b123c,100,Премия,[redacted_comment]
04.09.2024,employee_908545f9b4,Пиццерист,2,,,,,,,,,,16.02.2026,employee_abf859686b,Снят с должности,,19.05.2025,employee_2dcfa0649d,100,Премия,[redacted_comment]
06.09.2024,employee_628e0b2d4f,Сушист,4,,,,,,,,,,04.03.2026,employee_64c46f16b7,Снят с должности,,20.05.2025,employee_908545f9b4,300,Премия,[redacted_comment]
10.09.2024,employee_91a178f22a,Шаурмист,4,,,,,,,,,,05.03.2026,employee_3c4a629691,Зам,,20.05.2025,employee_b20c9e8ecf,700,Премия,[redacted_comment]
25.09.2024,employee_47a96f6744,Пиццерист,2,,,,,,,,,,12.05.2026,employee_15b9fd024a,Старший,,21.05.2025,employee_7448260c20,1300,Премия,[redacted_comment]
17.09.2024,employee_7448260c20,Сушист,1,,,,,,,,,,,,,,21.05.2025,employee_1af5d335a2,500,Премия,[redacted_comment]
12.09.2024,employee_52ff0a3d56,Сушист,6,,,,,,,,,,,,,,22.05.2025,employee_3fa5f3a2b5,200,Премия,[redacted_comment]
17.09.2024,employee_06b27c0309,Сушист,6,,,,,,,,,,,,,,23.05.2025,employee_3c4a629691,200,Премия,[redacted_comment]
18.09.2024,employee_62c77ec038,Пиццерист,1,,,,,,,,,,,,,,24.05.2025,employee_7448260c20,878,Удержание НДФЛ,
22.09.2024,employee_5de506f887,Сушист,5,,,,,,,,,,,,,,24.05.2025,employee_3fa5f3a2b5,200,Премия,[redacted_comment]
22.09.2024,employee_7e1cd53128,Пиццерист,5,,,,,,,,,,,,,,24.05.2025,employee_3c4a629691,300,Премия,[redacted_comment]
26.09.2024,employee_842d69f282,Пиццерист,5,,,,,,,,,,,,,,24.05.2025,employee_908545f9b4,300,Премия,[redacted_comment]
01.10.2024,employee_3a411cd9d2,Пиццерист,5,,,,,,,,,,,,,,24.05.2025,employee_abf859686b,200,Премия,[redacted_comment]
03.10.2024,employee_e2fdeb383b,Сушист,6,,,,,,,,,,,,,,,,,,
02.10.2024,employee_3a411cd9d2,Сушист,5,,,,,,,,,,,,,,27.05.2025,employee_3fa5f3a2b5,196,Штрафы и удержания,[redacted_comment]
03.10.2024,employee_62c77ec038,Шаурмист,3,,,,,,,,,,,,,,21.05.2025,employee_7448260c20,45,Штрафы и удержания,[redacted_comment]
26.09.2024,employee_842d69f282,Сушист,5,,,,,,,,,,,,,,22.05.2025,employee_445cbb2a20,147,Штрафы и удержания,[redacted_comment]
13.10.2024,employee_29a552452c,Сушист,2,,,,,,,,,,,,,,27.05.2025,employee_5a3e1adb3f,500,Премия,[redacted_comment]
21.10.2024,employee_29a552452c,Заготовщик,5,,,,,,,,,,,,,,28.05.2025,employee_9747b9d844,500,Премия,[redacted_comment]
30.10.2024,employee_842d69f282,Пиццерист,3,,,,,,,,,,,,,,29.05.2025,employee_445cbb2a20,200,Премия,[redacted_comment]
30.10.2024,employee_3a411cd9d2,Сушист,3,,,,,,,,,,,,,,29.05.2025,employee_7448260c20,200,Премия,[redacted_comment]
04.11.2024,employee_5a3e1adb3f,Пиццерист,5,,,,,,,,,,,,,,29.05.2025,employee_abf859686b,200,Премия,[redacted_comment]
04.11.2024,employee_7448260c20,Заготовщик,5,,,,,,,,,,,,,,28.05.2025,employee_7448260c20,765,Штрафы и удержания,[redacted_comment]
13.11.2024,employee_29a552452c,Сушист,1,,,,,,,,,,,,,,28.05.2025,employee_3fa5f3a2b5,765,Штрафы и удержания,[redacted_comment]
08.11.2024,employee_1570ccae80,Пиццерист,5,,,,,,,,,,,,,,28.05.2025,employee_9747b9d844,200,Штрафы и удержания,[redacted_comment]
14.11.2024,employee_133a7aeb63,Сушист,2,,,,,,,,,,,,,,28.05.2025,employee_abf859686b,200,Штрафы и удержания,[redacted_comment]
14.11.2024,employee_133a7aeb63,Пиццерист,2,,,,,,,,,,,,,,28.05.2025,employee_3c4a629691,163,Штрафы и удержания,[redacted_comment]
20.11.2024,employee_133a7aeb63,Сушист,1,,,,,,,,,,,,,,29.05.2025,employee_9747b9d844,107,Штрафы и удержания,[redacted_comment]
27.11.2024,employee_5a3e1adb3f,Пиццерист,3,,,,,,,,,,,,,,30.05.2025,employee_7448260c20,217,Штрафы и удержания,[redacted_comment]
02.12.2024,employee_91a178f22a,Заготовщик,5,,,,,,,,,,,,,,01.06.2025,employee_b20c9e8ecf,50,Штрафы и удержания,[redacted_comment]
02.12.2024,employee_8b0eb48cc4,Заготовщик,5,,,,,,,,,,,,,,01.06.2025,employee_dfa826d51c,3300,Премия,[redacted_comment]
11.12.2024,employee_842d69f282,Пиццерист,2,,,,,,,,,,,,,,04.06.2025,employee_9747b9d844,800,Штрафы и удержания,[redacted_comment]
25.12.2024,employee_9747b9d844,Пиццерист,1,,,,,,,,,,,,,,04.06.2025,employee_3fa5f3a2b5,785,Штрафы и удержания,[redacted_comment]
08.01.2025,employee_3fa5f3a2b5,Сушист,1,,,,,,,,,,,,,,04.06.2025,employee_7448260c20,785,Штрафы и удержания,[redacted_comment]
27.12.2024,employee_b5882a32e7,Сушист,6,,,,,,,,,,,,,,04.06.2025,employee_abf859686b,1400,Штрафы и удержания,[redacted_comment]
10.01.2025,employee_3c4a629691,Пиццерист,1,,,,,,,,,,,,,,05.06.2025,employee_908545f9b4,250,Премия,[redacted_comment]
