 Регистрация категорий,,,,,Особоые условия по депозитам (Для внештатников проставь НУЛИ),,,,Выдача депозитов,,,,Регистрация вступления в должность старших поваров,,,,Регистрация штрафов и премий,,,,
Дата постановки на категорию,Имя сотрудника,Должность,Категория,,Имя сотрудника,Требуемый депозит (указать при особых условиях),Сумма удержания (указать при особых условиях),,Имя сотрудника,Депозит при уволнении,Коэффициент выдачи ,,Дата вступления в должность,Имя сотрудника,Надбавка,,Дата,Имя сотрудника,Сумма,Вид начисления/списания,[redacted_comment]
26.05.2026,employee_921c390b7f,Сушист,5,,,,,,,,,,,,,,22.07.2025,employee_5a3e1adb3f,189,Штрафы и удержания,[redacted_comment]
,,,,,,,,,,,,,,,,,02.08.2025,employee_51247484d7,10000,Больничные и отпуска и пособия,[redacted_comment]
,,,,,,,,,,,,,,,,,29.07.2025,employee_908545f9b4,500,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,30.07.2025,employee_908545f9b4,500,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,01.08.2025,employee_3c4a629691,9000,Больничные и отпуска и пособия,[redacted_comment]
,,,,,,,,,,,,,,,,,04.08.2025,employee_5a3e1adb3f,500,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,11.08.2025,employee_b3338b123c,151,Штрафы и удержания,[redacted_comment]
,,,,,,,,,,,,,,,,,11.08.2025,employee_ac996276a1,81,Штрафы и удержания,[redacted_comment]
,,,,,,,,,,,,,,,,,05.08.2025,employee_3c4a629691,500,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,06.08.2025,employee_3c4a629691,500,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,05.08.2025,employee_5a3e1adb3f,326,Штрафы и удержания,[redacted_comment]
,,,,,,,,,,,,,,,,,05.08.2025,employee_ac996276a1,208,Штрафы и удержания,[redacted_comment]
,,,,,,,,,,,,,,,,,07.08.2025,employee_7448260c20,30,Штрафы и удержания,[redacted_comment]
,,,,,,,,,,,,,,,,,07.08.2025,employee_ac996276a1,116,Штрафы и удержания,[redacted_comment]
,,,,,,,,,,,,,,,,,08.08.2025,employee_445cbb2a20,113,Штрафы и удержания,[redacted_comment]
,,,,,,,,,,,,,,,,,08.08.2025,employee_445cbb2a20,60,Штрафы и удержания,[redacted_comment]
,,,,,,,,,,,,,,,,,10.08.2025,employee_908545f9b4,133,Штрафы и удержания,[redacted_comment]
,,,,,,,,,,,,,,,,,11.08.2025,employee_5a3e1adb3f,500,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,11.08.2025,employee_b3338b123c,600,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,11.08.2025,employee_3a10af3781,600,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,11.08.2025,employee_2dcfa0649d,600,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,14.08.2025,employee_51247484d7,600,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,12.08.2025,employee_62c77ec038,4400,Штрафы и удержания,[redacted_comment]
,,,,,,,,,,,,,,,,,13.08.2025,employee_a43b07b2aa,500,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,13.08.2025,employee_b3338b123c,10000,Больничные и отпуска и пособия,[redacted_comment]
,,,,,,,,,,,,,,,,,14.08.2025,employee_908545f9b4,500,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,14.08.2025,employee_5a3e1adb3f,1000,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,17.08.2025,employee_3c4a629691,500,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,18.08.2025,employee_3c4a629691,500,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,11.08.2025,employee_445cbb2a20,80,Штрафы и удержания,[redacted_comment]
,,,,,,,,,,,,,,,,,13.08.2025,employee_5a3e1adb3f,321,Штрафы и удержания,[redacted_comment]
,,,,,,,,,,,,,,,,,13.08.2025,employee_b16f896b29,82,Штрафы и удержания,[redacted_comment]
,,,,,,,,,,,,,,,,,15.08.2025,employee_b16f896b29,175,Штрафы и удержания,[redacted_comment]
,,,,,,,,,,,,,,,,,15.08.2025,employee_5a3e1adb3f,367,Штрафы и удержания,[redacted_comment]
,,,,,,,,,,,,,,,,,16.08.2025,employee_51247484d7,200,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,16.08.2025,employee_2dcfa0649d,200,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,23.08.2025,employee_2dcfa0649d,10000,Больничные и отпуска и пособия,[redacted_comment]
,,,,,,,,,,,,,,,,,19.08.2025,employee_5a3e1adb3f,500,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,20.08.2025,employee_908545f9b4,500,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,24.08.2025,employee_3c4a629691,500,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,25.08.2025,employee_5a3e1adb3f,500,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,26.08.2025,employee_5a3e1adb3f,500,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,22.08.2025,employee_445cbb2a20,78,Штрафы и удержания,[redacted_comment]
,,,,,,,,,,,,,,,,,23.08.2025,employee_b16f896b29,78,Штрафы и удержания,[redacted_comment]
,,,,,,,,,,,,,,,,,22.08.2025,employee_b16f896b29,243,Штрафы и удержания,[redacted_comment]
,,,,,,,,,,,,,,,,,22.08.2025,employee_ac996276a1,"120,4",Штрафы и удержания,[redacted_comment]
,,,,,,,,,,,,,,,,,26.08.2025,employee_8b0eb48cc4,500,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,26.08.2025,employee_abf859686b,102,Штрафы и удержания,[redacted_comment]
,,,,,,,,,,,,,,,,,26.08.2025,employee_b16f896b29, ,Штрафы и удержания,[redacted_comment]
,,,,,,,,,,,,,,,,,26.08.2025,employee_b3338b123c,187,Штрафы и удержания,[redacted_comment]
,,,,,,,,,,,,,,,,,26.08.2025,employee_5a3e1adb3f,274,Штрафы и удержания,[redacted_comment]
,,,,,,,,,,,,,,,,,01.09.2025,employee_b16f896b29,500,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,01.09.2025,employee_a43b07b2aa,1000,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,01.09.2025,employee_445cbb2a20,300,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,30.08.2025,employee_62c77ec038,3303,Штрафы и удержания,[redacted_comment]
,,,,,,,,,,,,,,,,,02.09.2025,employee_5a3e1adb3f,302,Штрафы и удержания,[redacted_comment]
,,,,,,,,,,,,,,,,,02.09.2025,employee_b16f896b29,113,Штрафы и удержания,[redacted_comment]
,,,,,,,,,,,,,,,,,02.09.2025,employee_62c77ec038,145,Штрафы и удержания,[redacted_comment]
,,,,,,,,,,,,,,,,,02.09.2025,employee_b16f896b29,300,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,04.09.2025,employee_abf859686b,500,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,04.09.2025,employee_3fa5f3a2b5,1100,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,08.09.2025,employee_5a3e1adb3f,800,Штрафы и удержания,[redacted_comment]
,,,,,,,,,,,,,,,,,02.09.2025,employee_445cbb2a20,45,Штрафы и удержания,[redacted_comment]
,,,,,,,,,,,,,,,,,02.09.2025,employee_b16f896b29,96,Штрафы и удержания,[redacted_comment]
,,,,,,,,,,,,,,,,,03.09.2025,employee_5a3e1adb3f,167,Штрафы и удержания,[redacted_comment]
,,,,,,,,,,,,,,,,,05.09.2025,employee_4937b66146,82,Штрафы и удержания,[redacted_comment]
,,,,,,,,,,,,,,,,,08.09.2025,employee_5a3e1adb3f,500,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,09.09.2025,employee_5a3e1adb3f,500,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,09.09.2025,employee_3fa5f3a2b5,300,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,06.09.2025,employee_908545f9b4,10000,Больничные и отпуска и пособия,[redacted_comment]
,,,,,,,,,,,,,,,,,14.09.2025,employee_5a3e1adb3f,1000,Штрафы и удержания,[redacted_comment]
,,,,,,,,,,,,,,,,,14.09.2025,employee_3fa5f3a2b5,4000,Штрафы и удержания,[redacted_comment]
,,,,,,,,,,,,,,,,,14.09.2025,employee_abf859686b,5000,Штрафы и удержания,[redacted_comment]
,,,,,,,,,,,,,,,,,14.09.2025,employee_5a3e1adb3f,1000,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,09.09.2025,employee_3fa5f3a2b5,300,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,09.09.2025,employee_abf859686b,465,Штрафы и удержания,[redacted_comment]
,,,,,,,,,,,,,,,,,09.09.2025,employee_3fa5f3a2b5,60,Штрафы и удержания,[redacted_comment]
,,,,,,,,,,,,,,,,,09.09.2025,employee_5a3e1adb3f,274,Штрафы и удержания,[redacted_comment]
,,,,,,,,,,,,,,,,,10.09.2025,employee_b16f896b29,119,Штрафы и удержания,[redacted_comment]
,,,,,,,,,,,,,,,,,13.09.2025,employee_3c4a629691,400,Штрафы и удержания,[redacted_comment]
,,,,,,,,,,,,,,,,,15.09.2025,employee_3fa5f3a2b5,500,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,15.09.2025,employee_abf859686b,500,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,15.09.2025,employee_3c4a629691,700,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,16.09.2025,employee_3fa5f3a2b5,400,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,16.09.2025,employee_b16f896b29,400,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,16.09.2025,employee_ac996276a1,300,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,17.09.2025,employee_a43b07b2aa,500,Штрафы и удержания,[redacted_comment]
,,,,,,,,,,,,,,,,,19.09.2025,employee_a43b07b2aa,682,Штрафы и удержания,[redacted_comment]
,,,,,,,,,,,,,,,,,19.09.2025,employee_3c4a629691,69,Штрафы и удержания,[redacted_comment]
,,,,,,,,,,,,,,,,,19.09.2025,employee_5a3e1adb3f,168,Штрафы и удержания,[redacted_comment]
,,,,,,,,,,,,,,,,,22.09.2025,employee_2dcfa0649d,200,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,22.09.2025,employee_ad25f93d9f,2000,Штрафы и удержания,[redacted_comment]
,,,,,,,,,,,,,,,,,21.09.2025,employee_b16f896b29,350,Штрафы и удержания,[redacted_comment]
,,,,,,,,,,,,,,,,,21.09.2025,employee_5a3e1adb3f,350,Штрафы и удержания,[redacted_comment]
,,,,,,,,,,,,,,,,,23.09.2025,employee_3fa5f3a2b5,500,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,23.09.2025,employee_1817e861dd,500,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,18.09.2025,employee_b3338b123c,150,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,18.09.2025,employee_51247484d7,150,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,16.09.2025,employee_b3338b123c,300,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,17.09.2025,employee_b3338b123c,300,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,19.09.2025,employee_51247484d7,300,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,20.09.2025,employee_51247484d7,300,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,21.09.2025,employee_51247484d7,200,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,22.09.2025,employee_b3338b123c,300,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,24.09.2025,employee_908545f9b4,500,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,25.09.2025,employee_3c4a629691,500,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,28.09.2025,employee_908545f9b4,500,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,29.09.2025,employee_908545f9b4,500,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,24.09.2025,employee_a43b07b2aa,100,Штрафы и удержания,[redacted_comment]
,,,,,,,,,,,,,,,,,24.09.2025,employee_908545f9b4,130,Штрафы и удержания,[redacted_comment]
,,,,,,,,,,,,,,,,,27.09.2025,employee_1bd2e1ad1c,500,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,25.09.2025,employee_3c4a629691,130,Штрафы и удержания,[redacted_comment]
,,,,,,,,,,,,,,,,,27.09.2025,employee_ac996276a1,500,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,30.09.2025,employee_1bd2e1ad1c,300,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,29.09.2025,employee_b3338b123c,5000,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,23.09.2025,employee_b3338b123c,300,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,25.09.2025,employee_b3338b123c,300,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,26.09.2025,employee_b3338b123c,300,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,29.09.2025,employee_b3338b123c,300,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,01.10.2025,employee_908545f9b4,500,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,02.10.2025,employee_3c4a629691,500,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,02.10.2025,employee_3fa5f3a2b5,500,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,03.10.2025,employee_3fa5f3a2b5,78,Штрафы и удержания,[redacted_comment]
,,,,,,,,,,,,,,,,,03.10.2025,employee_908545f9b4,167,Штрафы и удержания,[redacted_comment]
,,,,,,,,,,,,,,,,,03.10.2025,employee_1bd2e1ad1c,117,Штрафы и удержания,[redacted_comment]
,,,,,,,,,,,,,,,,,04.10.2025,employee_3c4a629691,133,Штрафы и удержания,[redacted_comment]
,,,,,,,,,,,,,,,,,10.10.2025,employee_b3338b123c,300,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,10.10.2025,employee_b3338b123c,300,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,10.10.2025,employee_b3338b123c,300,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,10.10.2025,employee_b3338b123c,150,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,10.10.2025,employee_b3338b123c,150,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,10.10.2025,employee_b3338b123c,150,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,10.10.2025,employee_51247484d7,300,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,10.10.2025,employee_51247484d7,150,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,10.10.2025,employee_51247484d7,150,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,10.10.2025,employee_51247484d7,150,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,07.10.2025,employee_b3338b123c,300,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,08.10.2025,employee_51247484d7,300,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,09.10.2025,employee_51247484d7,300,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,10.10.2025,employee_b3338b123c,150,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,10.10.2025,employee_51247484d7,150,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,11.10.2025,employee_b3338b123c,300,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,12.10.2025,employee_b3338b123c,300,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,10.10.2025,employee_908545f9b4,500,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,10.10.2025,employee_abf859686b,6000,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,10.10.2025,employee_3c4a629691,2000,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,13.10.2025,employee_3fa5f3a2b5,300,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,08.10.2025,employee_abf859686b,1604,Штрафы и удержания,[redacted_comment]
,,,,,,,,,,,,,,,,,12.10.2025,employee_3fa5f3a2b5,148,Штрафы и удержания,[redacted_comment]
,,,,,,,,,,,,,,,,,14.10.2025,employee_3fa5f3a2b5,300,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,20.10.2025,employee_3fa5f3a2b5,300,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,19.10.2025,employee_abf859686b,1000,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,19.10.2025,employee_c82e1942fd,1000,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,20.10.2025,employee_908545f9b4,1000,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,15.10.2025,employee_b3338b123c,300,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,16.10.2025,employee_b3338b123c,300,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,17.10.2025,employee_b3338b123c,300,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,18.10.2025,employee_51247484d7,300,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,19.10.2025,employee_51247484d7,300,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,20.10.2025,employee_51247484d7,300,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,14.10.2025,employee_51247484d7,300,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,21.10.2025,employee_3fa5f3a2b5,300,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,24.10.2025,employee_8b0eb48cc4,200,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,27.10.2025,employee_908545f9b4,1500,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,25.10.2025,employee_3c4a629691,500,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,22.10.2025,employee_51247484d7,300,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,23.10.2025,employee_b3338b123c,300,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,24.10.2025,employee_b3338b123c,150,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,25.10.2025,employee_b3338b123c,300,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,26.10.2025,employee_b3338b123c,300,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,24.10.2025,employee_51247484d7,150,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,28.10.2025,employee_3fa5f3a2b5,600,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,29.10.2025,employee_62c77ec038,1500,Штрафы и удержания,[redacted_comment]
,,,,,,,,,,,,,,,,,30.10.2025,employee_ac996276a1,80,Штрафы и удержания,[redacted_comment]
,,,,,,,,,,,,,,,,,31.10.2025,employee_3fa5f3a2b5,50,Штрафы и удержания,[redacted_comment]
,,,,,,,,,,,,,,,,,30.10.2025,employee_c82e1942fd,120,Штрафы и удержания,[redacted_comment]
,,,,,,,,,,,,,,,,,01.11.2025,employee_3c4a629691,170,Штрафы и удержания,[redacted_comment]
,,,,,,,,,,,,,,,,,01.11.2025,employee_f420556a57,500,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,28.10.2025,employee_b3338b123c,300,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,29.10.2025,employee_b3338b123c,300,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,02.11.2025,employee_b3338b123c,300,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,03.11.2025,employee_b3338b123c,300,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,30.10.2025,employee_51247484d7,300,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,31.10.2025,employee_51247484d7,300,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,01.11.2025,employee_51247484d7,300,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,28.10.2025,employee_dfa826d51c,3500,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,29.10.2025,employee_dfa826d51c,3500,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,05.11.2025,employee_5f85335cf4,500,Штрафы и удержания,[redacted_comment]
,,,,,,,,,,,,,,,,,05.11.2025,employee_3c4a629691,500,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,04.11.2025,employee_b3338b123c,300,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,08.11.2025,employee_b3338b123c,300,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,09.11.2025,employee_b3338b123c,300,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,10.11.2025,employee_b3338b123c,300,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,05.11.2025,employee_51247484d7,300,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,06.11.2025,employee_51247484d7,300,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,07.11.2025,employee_51247484d7,300,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,04.11.2025,employee_c82e1942fd,220,Штрафы и удержания,[redacted_comment]
,,,,,,,,,,,,,,,,,04.11.2025,employee_1bd2e1ad1c,140,Штрафы и удержания,[redacted_comment]
,,,,,,,,,,,,,,,,,04.11.2025,employee_abf859686b,172,Штрафы и удержания,[redacted_comment]
,,,,,,,,,,,,,,,,,04.11.2025,employee_f420556a57,190,Штрафы и удержания,[redacted_comment]
,,,,,,,,,,,,,,,,,04.11.2025,employee_8b0eb48cc4,335,Штрафы и удержания,[redacted_comment]
,,,,,,,,,,,,,,,,,04.11.2025,employee_3fa5f3a2b5,300,Штрафы и удержания,[redacted_comment]
,,,,,,,,,,,,,,,,,04.11.2025,employee_abf859686b,300,Штрафы и удержания,[redacted_comment]
,,,,,,,,,,,,,,,,,11.11.2025,employee_abf859686b,500,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,11.11.2025,employee_c82e1942fd,500,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,11.11.2025,employee_908545f9b4,500,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,11.11.2025,employee_c82e1942fd,300,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,11.11.2025,employee_1bd2e1ad1c,500,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,12.11.2025,employee_c82e1942fd,300,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,11.11.2025,employee_908545f9b4,500,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,12.11.2025,employee_908545f9b4,500,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,14.11.2025,employee_8b0eb48cc4,2000,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,16.11.2025,employee_3c4a629691,1000,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,17.11.2025,employee_3fa5f3a2b5,500,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,17.11.2025,employee_c82e1942fd,500,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,11.11.2025,employee_51247484d7,300,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,12.11.2025,employee_51247484d7,300,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,13.11.2025,employee_51247484d7,300,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,15.11.2025,employee_b3338b123c,300,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,16.11.2025,employee_b3338b123c,300,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,17.11.2025,employee_b3338b123c,150,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,17.11.2025,employee_51247484d7,150,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,14.11.2025,employee_abf859686b,556,Штрафы и удержания,[redacted_comment]
,,,,,,,,,,,,,,,,,14.11.2025,employee_3fa5f3a2b5,556,Штрафы и удержания,[redacted_comment]
,,,,,,,,,,,,,,,,,14.11.2025,employee_f420556a57,132,Штрафы и удержания,[redacted_comment]
,,,,,,,,,,,,,,,,,14.11.2025,employee_44aa735d3b,98,Штрафы и удержания,[redacted_comment]
,,,,,,,,,,,,,,,,,14.11.2025,employee_8b0eb48cc4,100,Штрафы и удержания,[redacted_comment]
,,,,,,,,,,,,,,,,,17.11.2025,employee_abf859686b,5000,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,14.11.2025,employee_abf859686b,500,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,14.11.2025,employee_3fa5f3a2b5,500,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,14.11.2025,employee_1bd2e1ad1c,500,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,18.11.2025,employee_908545f9b4,1500,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,18.11.2025,employee_c82e1942fd,300,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,18.11.2025,employee_1bd2e1ad1c,200,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,19.11.2025,employee_c82e1942fd,500,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,19.11.2025,employee_1bd2e1ad1c,500,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,23.11.2025,employee_abf859686b,1000,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,23.11.2025,employee_c82e1942fd,500,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,24.11.2025,employee_3c4a629691,500,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,24.11.2025,employee_3fa5f3a2b5,500,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,20.11.2025,employee_c82e1942fd,65,Штрафы и удержания,[redacted_comment]
,,,,,,,,,,,,,,,,,20.11.2025,employee_1bd2e1ad1c,230,Штрафы и удержания,[redacted_comment]
,,,,,,,,,,,,,,,,,20.11.2025,employee_908545f9b4,213,Штрафы и удержания,[redacted_comment]
,,,,,,,,,,,,,,,,,20.11.2025,employee_3fa5f3a2b5,230,Штрафы и удержания,[redacted_comment]
,,,,,,,,,,,,,,,,,20.11.2025,employee_b3338b123c,300,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,21.11.2025,employee_b3338b123c,300,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,22.11.2025,employee_b3338b123c,300,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,18.11.2025,employee_51247484d7,300,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,19.11.2025,employee_51247484d7,300,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,23.11.2025,employee_51247484d7,300,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,24.11.2025,employee_51247484d7,300,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,25.11.2025,employee_1bd2e1ad1c,1000,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,25.11.2025,employee_c82e1942fd,1000,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,25.11.2025,employee_f420556a57,1000,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,30.11.2025,employee_abf859686b,300,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,30.11.2025,employee_1bd2e1ad1c,300,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,30.11.2025,employee_3fa5f3a2b5,300,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,30.11.2025,employee_3c4a629691,300,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,30.11.2025,employee_908545f9b4,300,Премия,[redacted_comment]
,,,,,,,,,,,,,,,,,25.11.2025,employee_1bd2e1ad1c,150,Штрафы и удержания,[redacted_comment]
,,,,,,,,,,,,,,,,,25.11.2025,employee_f420556a57,132,Штрафы и удержания,[redacted_comment]
,,,,,,,,,,,,,,,,,25.11.2025,employee_3c4a629691,145,Штрафы и удержания,[redacted_comment]
