sheet_name,cell,formula,formula_type,shared_ref
Исходные данные,A18,"IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""[private]"")",,
Исходные данные,B18,"IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""Сушист"")",,
Исходные данные,C18,"IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),2.0)",,
Исходные данные,A19,"IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""[private]"")",,
Исходные данные,B19,"IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""Шаурмист"")",,
Исходные данные,C19,"IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),4.0)",,
Исходные данные,A20,"IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""[private]"")",,
Исходные данные,B20,"IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""Сушист"")",,
Исходные данные,C20,"IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),3.0)",,
Исходные данные,A21,"IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""[private]"")",,
Исходные данные,B21,"IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""Сушист"")",,
Исходные данные,C21,"IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),5.0)",,
Исходные данные,A22,"IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""[private]"")",,
Исходные данные,B22,"IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""Администратор"")",,
Исходные данные,C22,"IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),4.0)",,
Исходные данные,A23,"IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""[private]"")",,
Исходные данные,B23,"IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""Сушист"")",,
Исходные данные,C23,"IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),2.0)",,
Штат,C3,"IFERROR(__xludf.DUMMYFUNCTION(""IFERROR(INDEX(SORT(FILTER('Категории и надбавки'!A:D,'Категории и надбавки'!A:A<=TODAY(),'Категории и надбавки'!B:B=A3,'Категории и надбавки'!C:C=B3),1,FALSE),1,4),"""""""")""),2.0)",,
Штат,D3,"IFERROR(__xludf.DUMMYFUNCTION(""IFERROR(
  IF(
    INDEX(
      SORT(
        QUERY(
          'Категории и надбавки'!$N$3:$P937,
          """"select N, P where O = '""""&A3&""""' and N <= date '""""&TEXT(TODAY(),""""yyyy-MM-dd"""")&""""'"""",
          0
        ),
        1, FALSE
      ),
      1, ""&""2
    ) = """"Снят с должности"""",
    """""""",
    INDEX(
      SORT(
        QUERY(
          'Категории и надбавки'!$N$3:$P937,
          """"select N, P where O = '""""&A3&""""' and N <= date '""""&TEXT(TODAY(),""""yyyy-MM-dd"""")&""""'"""",
          0
        ),
        ""&""1, FALSE
      ),
      1, 2
    )
  ),
  """"""""
)
""),"""")",,
Штат,F3,"IF(A3:A937="""","""",TODAY())",array,F3:F937
Штат,G3,"IF(A3:A937="""","""",YEARFRAC(E3:E937,F3:F937))",array,G3:G937
Штат,J3,UNIQUE(A3:A937),array,J3:J19
Штат,K3,"IFERROR(__xludf.DUMMYFUNCTION(""IF(J3="""""""","""""""",INDEX(SORT(FILTER($C$3:$C937,$A$3:$A937=J3),1,1),1,1))""),2.0)",,
Штат,L3,"IF(J3="""","""", SUMIFS('Выгрузка'!$B:$B,'Выгрузка'!$F:$F,""Депозит удержание"",'Выгрузка'!$C:$C,J3)+SUMIF('Исходные данные'!$AA$3:$AA937,J3,'Исходные данные'!$AB$3:$AB937))",,
Штат,M3,"IF(
    J3:J937 = """",
    """",
    IFERROR(
      VLOOKUP(J3:J937, 'Категории и надбавки'!$F$3:$H937, 2, 0),
      VLOOKUP(K3:K937, 'Исходные данные'!$G$3:$J937, 3, 0)
    )
  )
",array,M3:M937
Штат,N3,"IF(
    J3:J937 = """",
    """",
    IFERROR(
      VLOOKUP(J3:J937, 'Категории и надбавки'!$F$3:$H937, 3, 0),
      VLOOKUP(K3:K937, 'Исходные данные'!$G$3:$J937, 4, 0)
    )
  )",array,N3:N937
Штат,O3,"IF(M3=L3,"""",IF(M3>L3,N3,""Избыток""))",shared,O3:O10
Штат,P3,"IFERROR(VLOOKUP(J3:J937,'Категории и надбавки'!J3:K937,2,0),"""")",array,P3:P937
Штат,Q3,"IF(J3:J937="""","""",IFERROR(VLOOKUP(J3:J937,'Категории и надбавки'!J3:L937,3,0),""""))",array,Q3:Q937
